StockCode,GrossRevenue,UnitsSold,SalesLines,SalesOrders,Description,ProductCategory,CommercialProduct,RevenueShare
22470,55772.020000000004,18508,2059,1952,HEART OF WICKER LARGE,Merchandise,True,0.26681564926638474
22189,54547.380000000005,18350,1327,1299,CREAM HEART CARD HOLDER,Merchandise,True,0.26095692088040223
20914,53335.66,18952,2098,2030,SET/5 RED RETROSPOT LID GLASS BOWLS,Merchandise,True,0.2551600023085258
22178,53105.59,40572,1864,1816,VICTORIAN GLASS HANGING T-LIGHT,Merchandise,True,0.25405933791755125
22139,53085.61,10649,2110,2093,RETROSPOT TEA SET CERAMIC 11 PC ,Merchandise,True,0.25396375277158845
21212,52948.799999999996,96472,3239,3118,PACK OF 72 RETROSPOT CAKE CASES,Merchandise,True,0.25330924807593397
21623,52082.93,7196,549,530,VINTAGE UNION JACK MEMOBOARD,Merchandise,True,0.2491668902013172
22111,51936.86,10163,1803,1689,SCOTTIE DOG HOT WATER BOTTLE,Merchandise,True,0.24846808528285916
21733,51441.92,17960,1840,1760,RED HANGING HEART T-LIGHT HOLDER,Merchandise,True,0.2461002718622962
84946,51148.47,37919,1833,1769,ANTIQUE SILVER TEA GLASS ETCHED,Merchandise,True,0.24469639493122536
22469,51088.16,29013,2272,2151,HEART OF WICKER SMALL,Merchandise,True,0.24440786939804127
21181,50818.920000000006,25028,1875,1810,PLEASE ONE PERSON METAL SIGN,Merchandise,True,0.2431198141077993
22090,50723.600000000006,16798,1732,1703,PAPER BUNTING RETROSPOT,Merchandise,True,0.2426637992873199
21232,50660.48,38901,2514,2435,STRAWBERRY CERAMIC TRINKET BOX,Merchandise,True,0.24236183059797187
21929,50300.82,25937,1651,1619,JUMBO BAG PINK VINTAGE PAISLEY,Merchandise,True,0.24064120228981398
48194,49542.47,7835,1372,1349,DOORMAT HEARTS,Merchandise,True,0.23701322454001825
21731,49508.34,29696,1586,1537,RED TOADSTOOL LED NIGHT LIGHT,Merchandise,True,0.2368499452091017
22457,48423.25000000001,15687,2105,2046,NATURAL SLATE HEART CHALKBOARD ,Merchandise,True,0.23165882979204383
15056BL,47828.19,9600,886,857,EDWARDIAN PARASOL BLACK,Merchandise,True,0.228812038152572
21754,47774.74,7796,2130,2066,HOME BUILDING BLOCK WORD,Merchandise,True,0.2285563311429767
84029E,47479.83,11757,1253,1145,RED WOOLLY HOTTIE WHITE HEART.,Merchandise,True,0.22714546951155024
21523,47194.58,7046,1147,1122,DOORMAT FANCY FONT HOME SWEET HOME,Merchandise,True,0.22578082171946318
48187,47026.85,7395,1304,1282,DOORMAT NEW ENGLAND,Merchandise,True,0.22497839446559195
21928,47023.18,24743,1571,1542,JUMBO BAG SCANDINAVIAN PAISLEY,Merchandise,True,0.22496083703387607
22355,46584.99,32635,1778,1742,CHARLOTTE BAG SUKI DESIGN,Merchandise,True,0.22286451795932868
71477,46519.13,15719,854,809,COLOUR GLASS. STAR T-LIGHT HOLDER,Merchandise,True,0.22254944099671042
20727,46283.89,27042,2440,2351,LUNCH BAG  BLACK SKULL.,Merchandise,True,0.22142404311201086
48185,46050.99,6855,1004,983,DOORMAT FAIRY CAKE,Merchandise,True,0.2203098398840456
22138,45882.01,9366,1926,1914,BAKING SET 9 PIECE RETROSPOT ,Merchandise,True,0.21950143257850005
22326,44943.43,15655,1429,1391,ROUND SNACK BOXES SET OF4 WOODLAND ,Merchandise,True,0.2150112270580896
21915,44680.05,38088,1063,1025,RED  HARMONICA IN BOX ,Merchandise,True,0.21375120625009694
82494L,44667.100000000006,15601,2051,1973,WOODEN FRAME ANTIQUE WHITE ,Merchandise,True,0.21368925291475072
21175,44282.23,20856,1701,1659,GIN + TONIC DIET METAL SIGN,Merchandise,True,0.21184801892442448
84078A,43921.51,1129,329,328,SET/4 WHITE RETRO STORAGE CUBES ,Merchandise,True,0.21012231953244673
22383,43836.86,25403,2472,2398,LUNCH BAG SUKI  DESIGN ,Merchandise,True,0.20971735043305964
23298,43148.18,8466,1161,1146,SPOTTY BUNTING,Merchandise,True,0.20642267684338553
20728,42695.64,24838,2118,2067,LUNCH BAG CARS BLUE,Merchandise,True,0.20425770677561664
82482,42396.03,17141,2068,2006,WOODEN PICTURE FRAME WHITE FINISH,Merchandise,True,0.2028243601498946
23203,42030.340000000004,20485,1242,1231,JUMBO BAG VINTAGE DOILY ,Merchandise,True,0.20107488407245963
20713,41332.89,21170,1351,1314,JUMBO BAG OWLS,Merchandise,True,0.19773825444023832
22083,41256.41,13961,1445,1401,PAPER CHAIN KIT RETROSPOT,Merchandise,True,0.19737237095859478
22328,40407.96,14602,1191,1159,ROUND SNACK BOXES SET OF 4 FRUITS ,Merchandise,True,0.19331335108411174
84997D,40250.98,10746,1124,1085,PINK 3 PIECE MINI DOTS CUTLERY SET,Merchandise,True,0.19256235227463997
22960,39639.31,9289,1212,1159,JAM MAKING SET WITH JARS,Merchandise,True,0.18963609770851936
85066,39173.65,3128,952,929,CREAM SWEETHEART MINI CHEST,Merchandise,True,0.18740836101837646
22699,39061.14,13314,1473,1424,ROSES REGENCY TEACUP AND SAUCER ,Merchandise,True,0.1868701085272714
82486,39004.8,4853,1326,1274,WOOD S/3 CABINET ANT WHITE FINISH,Merchandise,True,0.18660057563820504
20726,38883.73,22301,1983,1926,LUNCH BAG WOODLAND,Merchandise,True,0.186021371753234
22629,38691.7,21193,1416,1368,SPACEBOY LUNCH BOX ,Merchandise,True,0.18510269229481338
21485,38585.35,7872,1469,1385,RETROSPOT HEART HOT WATER BOTTLE,Merchandise,True,0.18459390949835952
21166,38428.21,20063,1465,1425,COOK WITH WINE METAL SIGN ,Merchandise,True,0.1838421452422734
23284,38133.64,5487,732,728,DOORMAT KEEP CALM AND COME IN,Merchandise,True,0.18243291018490237
22720,38108.89,7483,1392,1385,SET OF 3 CAKE TINS PANTRY DESIGN ,Merchandise,True,0.1823145051617502
20712,37988.94,17936,1446,1415,JUMBO BAG WOODLAND ANIMALS,Merchandise,True,0.18174065940307943
22727,37857.61,9565,1428,1363,ALARM CLOCK BAKELIKE RED ,Merchandise,True,0.18111237125396532
21524,36565.22,5329,1173,1150,DOORMAT SPOTTY HOME SWEET HOME,Merchandise,True,0.17492952406723292
20724,35558.23,32443,2082,2035,RED RETROSPOT CHARLOTTE BAG,Merchandise,True,0.17011204227878854
22379,35362.76,16053,1608,1570,RECYCLING BAG RETROSPOT ,Merchandise,True,0.1691769057181601
21755,35356.39,5726,1741,1696,LOVE BUILDING BLOCK WORD,Merchandise,True,0.16914643137482757
84997B,34949.56,9378,1051,1019,RED 3 PIECE MINI DOTS CUTLERY SET,Merchandise,True,0.16720013983668636
21479,34560.68,6857,1026,930,WHITE SKULL HOT WATER BOTTLE ,Merchandise,True,0.16533972184058882
22384,34425.81,20988,2158,2106,LUNCH BAG PINK POLKADOT,Merchandise,True,0.16469449818513296
22666,34421.200000000004,10928,1718,1657,RECIPE BOX PANTRY YELLOW DESIGN,Merchandise,True,0.16467244375455797
22382,34317.59,20386,2202,2153,LUNCH BAG SPACEBOY DESIGN ,Merchandise,True,0.16417676923137428
AMAZONFEE,34009.13,4,4,3,AMAZON FEE,Fees / Adjustments,False,0.16270108383979784
22630,33923.45,18334,1380,1333,DOLLY GIRL LUNCH BOX,Merchandise,True,0.16229118717783106
22726,33666.34,7935,1340,1273,ALARM CLOCK BAKELIKE GREEN,Merchandise,True,0.161061162309037
22865,33394.91,15471,1336,1212,HAND WARMER OWL DESIGN,Merchandise,True,0.1597626299682616
22188,33197.05,12483,585,566,BLACK HEART CARD HOLDER,Merchandise,True,0.1588160595488318
15036,33041.55,44365,1003,991,ASSORTED COLOURS SILK FAN,Merchandise,True,0.15807214112054244
84997C,32942.86,8852,975,951,BLUE 3 PIECE MINI DOTS CUTLERY SET,Merchandise,True,0.15760000408074898
22385,32735.2,17220,1275,1248,JUMBO BAG SPACEBOY DESIGN,Merchandise,True,0.15660655005619228
22622,32144.04,3240,602,571,BOX OF VINTAGE ALPHABET BLOCKS,Merchandise,True,0.15377841617794444
22077,32142.04,17526,1822,1751,6 RIBBONS RUSTIC CHARM,Merchandise,True,0.15376884809526548
85152,31976.56,16603,1503,1460,HAND OVER THE CHOCOLATE   SIGN ,Merchandise,True,0.1529771849344081
84029G,31927.13,7307,1103,1009,KNITTED UNION FLAG HOT WATER BOTTLE,Merchandise,True,0.15274070977099752
48184,31551.32,4770,863,851,DOORMAT ENGLISH ROSE ,Merchandise,True,0.150942819195207
22697,31431.670000000002,10077,1402,1353,GREEN REGENCY TEACUP AND SAUCER,Merchandise,True,0.15037040864893808
22659,31142.57,16838,1146,1075,LUNCH BOX I LOVE LONDON,Merchandise,True,0.14898734229769398
23245,31118.550000000003,6345,876,873,SET OF 3 REGENCY CAKE TINS,Merchandise,True,0.14887242962471967
85014B,31088.23,6196,917,900,RED RETROSPOT UMBRELLA,Merchandise,True,0.14872737749130657
22501,30768.59,2637,780,762,PICNIC BASKET WICKER LARGE,Merchandise,True,0.14719820651755472
22752,30736.75,3773,750,692,SET 7 BABUSHKA NESTING BOXES,Merchandise,True,0.14704588264130564
20679,30649.47,6256,736,715,EDWARDIAN PARASOL RED,Merchandise,True,0.1466283315131957
23199,30450.690000000002,14908,986,978,JUMBO BAG APPLES,Merchandise,True,0.14567735977573357
21217,30393.48,2952,958,928,RED RETROSPOT ROUND CAKE TINS,Merchandise,True,0.14540366477070182
22866,30323.640000000003,13723,1212,1083,HAND WARMER SCOTTY DOG DESIGN,Merchandise,True,0.14506954732355246
22158,30197.280000000002,9341,767,718,3 HEARTS HANGING DECORATION RUSTIC,Merchandise,True,0.1444650358598956
82483,30014.440000000002,5072,1170,1123,WOOD 2 DRAWER CABINET WHITE FINISH,Merchandise,True,0.1435903217413848
47590B,29532.93,5768,885,872,PINK HAPPY BIRTHDAY BUNTING,Merchandise,True,0.14128675799601112
22867,29484.320000000003,13426,1190,1054,HAND WARMER BIRD DESIGN,Merchandise,True,0.14105420574649893
22492,28999.39,45593,747,732,MINI PAINT SET VINTAGE ,Merchandise,True,0.13873428057974418
20971,28966.21,22580,1193,1148,PINK BLUE FELT CRAFT TRINKET BOX,Merchandise,True,0.1385755460881002
22467,28919.800000000003,12212,1142,1095,GUMBALL COAT RACK,Merchandise,True,0.13835351872953486
48188,28775.21,4889,704,698,DOORMAT WELCOME PUPPIES,Merchandise,True,0.13766179419225924
23355,28718.8,5816,796,782,HOT WATER BOTTLE KEEP CALM,Merchandise,True,0.13739192642029907
84978,28629.82,21819,1450,1425,HANGING HEART JAR T-LIGHT HOLDER,Merchandise,True,0.13696624242191202
22835,28455.98,5524,1065,1011,HOT WATER BOTTLE I AM SO POORLY,Merchandise,True,0.13613458467545658
21977,28413.629999999997,56625,2056,1993,PACK OF 60 PINK PAISLEY CAKE CASES,Merchandise,True,0.13593198052472955
82583,28324.61,13008,1224,1176,HOT BATHS METAL SIGN,Merchandise,True,0.13550610516468892
20719,28249.92,24901,1605,1573,WOODLAND CHARLOTTE BAG,Merchandise,True,0.13514878511704304
22961,28218.239999999998,18069,1280,1200,JAM MAKING SET PRINTED,Merchandise,True,0.13499722668740827
22624,28010.17,3232,1250,1219,IVORY KITCHEN SCALES,Merchandise,True,0.13400181120590238
21930,27888.86,13640,1364,1321,JUMBO STORAGE BAG SKULLS,Merchandise,True,0.13342145915100986
23201,27850.83,13366,911,906,JUMBO BAG ALPHABET,Merchandise,True,0.1332395220588694
72741,27820.88,20113,948,920,GRAND CHOCOLATECANDLE,Merchandise,True,0.13309624002075193
20750,27523.12,3772,937,909,RED RETROSPOT MINI CASES,Merchandise,True,0.13167174387150796
84991,27321.37,54537,2216,2127,60 TEATIME FAIRY CAKE CASES,Merchandise,True,0.13070656353126756
71459,27090.51,33457,1025,1017,HANGING JAM JAR T-LIGHT HOLDER,Merchandise,True,0.12960211974763486
22734,27039.82,9820,780,756,SET OF 6 RIBBONS VINTAGE CHRISTMAS,Merchandise,True,0.12935961669213658
21481,26925.18,8537,1121,1050,FAWN BLUE HOT WATER BOTTLE,Merchandise,True,0.12881117419297844
22149,26783.86,12888,1443,1382,FELTCRAFT 6 FLOWER FRIENDS,Merchandise,True,0.12813509347088292
22507,26626.56,5694,917,900,MEMO BOARD RETROSPOT  DESIGN,Merchandise,True,0.12738256376818247
48111,26483.99,4301,742,720,DOORMAT 3 SMILEY CATS,Merchandise,True,0.12670050299441263
22551,26420.75,15740,1355,1299,PLASTERS IN TIN SPACEBOY,Merchandise,True,0.1263979602201038
20711,26183.0,12836,1064,1052,JUMBO BAG TOYS ,Merchandise,True,0.1252605543916421
82600,26168.760000000002,12887,1233,1201,NO SINGING METAL SIGN,Merchandise,True,0.1251924296429679
21080,26013.27,31801,2197,2123,SET/20 RED RETROSPOT PAPER NAPKINS ,Merchandise,True,0.12444855905509192
47566B,25954.45,5831,777,761,TEA TIME PARTY BUNTING,Merchandise,True,0.12416716174350362
21108,25859.050000000003,13087,634,613,FAIRY CAKE FLANNEL ASSORTED COLOUR,Merchandise,True,0.1237107641997171
22087,25507.120000000003,8513,877,847,PAPER BUNTING WHITE LACE,Merchandise,True,0.12202711653111341
21527,25493.02,3414,858,831,RED RETROSPOT TRADITIONAL TEAPOT ,Merchandise,True,0.1219596615482267
22084,25453.83,8870,835,811,PAPER CHAIN KIT EMPIRE,Merchandise,True,0.12177217496813243
37503,25428.33,2465,523,522,TEA TIME CAKE STAND IN GIFT BOX,Merchandise,True,0.12165018191397567
84755,25386.65,40703,1285,1259,COLOUR GLASS T-LIGHT HOLDER HANGING,Merchandise,True,0.12145078307094608
21314,25253.850000000002,11647,1092,1066,SMALL GLASS HEART TRINKET POT,Merchandise,True,0.12081546238106294
84077,25197.98,109898,1039,1019,WORLD WAR 2 GLIDERS ASSTD DESIGNS,Merchandise,True,0.1205481779914261
20972,25080.59,20704,1446,1397,PINK CREAM FELT CRAFT TRINKET BOX ,Merchandise,True,0.11998657937858437
23173,24879.13,2766,421,416,REGENCY TEAPOT ROSES ,Merchandise,True,0.11902278641033245
22728,24858.52,6361,1015,969,ALARM CLOCK BAKELIKE PINK,Merchandise,True,0.11892418731832574
84836,24563.170000000002,20057,1465,1408,ZINC METAL HEART DECORATION,Merchandise,True,0.11751122070870991
47590A,24542.88,4826,698,689,BLUE HAPPY BIRTHDAY BUNTING,Merchandise,True,0.11741415250993183
21231,24499.38,19672,1538,1482,SWEETHEART CERAMIC TRINKET BOX,Merchandise,True,0.11720604671166439
22722,24459.960000000003,5972,848,835,SET OF 6 SPICE TINS PANTRY DESIGN,Merchandise,True,0.11701745980206205
22698,24377.570000000003,8194,1040,1033,PINK REGENCY TEACUP AND SAUCER,Merchandise,True,0.11662330263610217
21258,24089.84,1687,561,526,VICTORIAN SEWING BOX LARGE,Merchandise,True,0.11524679042149316
22171,24081.66,3181,675,661,3 HOOK PHOTO SHELF ANTIQUE WHITE,Merchandise,True,0.11520765696333621
21790,24063.3,27904,1952,1888,VINTAGE SNAP CARDS,Merchandise,True,0.11511982196434332
21955,23949.35,3933,748,729,DOORMAT UNION JACK GUNS AND ROSES,Merchandise,True,0.1145746804537094
21791,23926.98,18532,1368,1313,VINTAGE HEADS AND TAILS CARD GAME ,Merchandise,True,0.11446766144894523
22625,23851.23,2719,985,950,RED KITCHEN SCALES,Merchandise,True,0.1141052703174795
84406B,23816.65,7383,886,841,CREAM CUPID HEARTS COAT HANGER,Merchandise,True,0.11393983816796024
23344,23772.07,10285,722,716,JUMBO BAG 50'S CHRISTMAS ,Merchandise,True,0.11372656560504615
22605,23731.02,1845,652,642,WOODEN CROQUET GARDEN SET,Merchandise,True,0.11353018070806044
23243,23489.42,4800,471,470,SET OF TEA COFFEE SUGAR TINS PANTRY,Merchandise,True,0.11237435632044171
48173C,23295.82,4099,510,500,DOORMAT BLACK FLOCK ,Merchandise,True,0.11144816591711812
22554,23276.56,13822,1326,1275,PLASTERS IN TIN WOODLAND ANIMALS,Merchandise,True,0.11135602528091972
22113,23031.27,6020,1075,996,GREY HEART HOT WATER BOTTLE,Merchandise,True,0.11018254778075831
22607,23030.05,2544,755,744,WOODEN ROUNDERS GARDEN SET ,Merchandise,True,0.11017671125032413
22585,22847.67,18288,1168,1084,PACK OF 6 BIRDY GIFT TAGS,Merchandise,True,0.10930419779082952
21936,22818.09,7823,1062,1046,RED RETROSPOT PICNIC BAG,Merchandise,True,0.10916268584800766
20749,22703.16,3143,793,766,ASSORTED COLOUR MINI CASES,Merchandise,True,0.10861285597686106
37449,22672.61,2415,491,477,CERAMIC CAKE STAND + HANGING CAKES,Merchandise,True,0.1084667035139399
22556,22651.23,13771,1245,1196,PLASTERS IN TIN CIRCUS PARADE ,Merchandise,True,0.10836442071010179
22941,22619.82,2707,520,483,CHRISTMAS LIGHTS 10 REINDEER,Merchandise,True,0.10821415397162869
22969,22441.85,15075,753,709,HOMEMADE JAM SCENTED CANDLES,Merchandise,True,0.10736273813444118
22632,22334.47,11166,891,779,HAND WARMER RED RETROSPOT,Merchandise,True,0.10684902777540765
84970S,22057.379999999997,26756,1454,1425,HANGING HEART ZINC T-LIGHT HOLDER,Merchandise,True,0.10552341776065073
85014A,22024.5,4660,703,684,BLACK/BLUE POLKADOT UMBRELLA,Merchandise,True,0.10536611848140859
21210,21948.559999999998,15243,1185,1161,SET OF 72 RETROSPOT PAPER  DOILIES,Merchandise,True,0.10500281838208839
22499,21898.74,3595,784,774,WOODEN UNION JACK BUNTING,Merchandise,True,0.10476447744255542
22456,21859.23,4457,851,835,NATURAL SLATE CHALKBOARD LARGE ,Merchandise,True,0.1045754599692325
23202,21810.43,10941,886,879,JUMBO BAG VINTAGE LEAF,Merchandise,True,0.10434199875186581
85048,21779.2,2749,545,517,15CM CHRISTMAS GLASS BALL 20 LIGHTS,Merchandise,True,0.1041925931408338
21213,21661.75,40563,1526,1481,PACK OF 72 SKULL CAKE CASES,Merchandise,True,0.1036307074855117
22570,21542.29,5795,851,807,FELTCRAFT CUSHION RABBIT,Merchandise,True,0.10305920590709726
23209,21418.82,13170,1114,1098,LUNCH BAG VINTAGE DOILY ,Merchandise,True,0.1024685203229115
22424,21267.71,1557,753,739,ENAMEL BREAD BIN CREAM,Merchandise,True,0.10174560383610246
22356,21243.09,20226,1618,1584,CHARLOTTE BAG PINK POLKADOT,Merchandise,True,0.10162782073832442
22617,21138.14,4384,963,942,BAKING SET SPACEBOY DESIGN,Merchandise,True,0.10112573559974584
21218,21079.56,5299,921,897,RED SPOTTY BISCUIT TIN,Merchandise,True,0.10084548645807904
22568,21022.75,5683,920,875,FELTCRAFT CUSHION OWL,Merchandise,True,0.10057370506958307
22294,20962.02,16923,918,861,HEART FILIGREE DOVE  SMALL,Merchandise,True,0.10028317023903638
22569,20872.46,5717,835,784,FELTCRAFT CUSHION BUTTERFLY,Merchandise,True,0.09985471149667241
23206,20852.58,12147,1053,1036,LUNCH BAG APPLE DESIGN,Merchandise,True,0.09975960475484354
48116,20787.72,3459,501,496,DOORMAT MULTICOLOUR STRIPE,Merchandise,True,0.09944931183356476
85150,20650.38,8512,1144,1110,LADIES & GENTLEMEN METAL SIGN,Merchandise,True,0.0987922715960004
20723,20640.22,18441,1408,1379,STRAWBERRY CHARLOTTE BAG,Merchandise,True,0.09874366573599125
21559,20612.52,8313,1264,1221,STRAWBERRY LUNCH BOX WITH CUTLERY,Merchandise,True,0.09861114779088763
22693,20499.08,17899,352,350,GROW A FLYTRAP OR SUNFLOWER IN TIN,Merchandise,True,0.09806844614133686
21216,20484.03,3940,824,802,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",Merchandise,True,0.09799644631917764
22900,20459.510000000002,6349,785,723, SET 2 TEA TOWELS I LOVE LONDON ,Merchandise,True,0.09787914162553359
22273,20301.52,7398,836,810,FELTCRAFT DOLL MOLLY,Merchandise,True,0.0971233109343089
22558,20136.65,14263,1245,1202,CLOTHES PEGS RETROSPOT PACK 24 ,Merchandise,True,0.0963345660386686
21622,20080.49,3728,637,626,VINTAGE UNION JACK CUSHION COVER,Merchandise,True,0.09606589427704333
22381,19960.07,9442,1121,1100,TOY TIDY PINK POLKADOT,Merchandise,True,0.09548980001894297
22413,19937.79,7037,904,881,METAL SIGN TAKE IT OR LEAVE IT ,Merchandise,True,0.09538321157789932
22169,19930.8,2323,714,701,FAMILY ALBUM WHITE PICTURE FRAME,Merchandise,True,0.09534977112893635
21174,19838.71,9800,1169,1135,POTTERING IN THE SHED METAL SIGN,Merchandise,True,0.0949092087619835
22952,19775.579999999998,33719,1225,1144,60 CAKE CASES VINTAGE CHRISTMAS,Merchandise,True,0.09460719223222203
48129,19752.97,3145,553,543,DOORMAT TOPIARY,Merchandise,True,0.09449902505753636
22561,19740.54,11771,938,904,WOODEN SCHOOL COLOURING SET,Merchandise,True,0.0944395594236866
84997A,19693.32,5262,610,589,GREEN 3 PIECE MINI DOTS CUTLERY SET,Merchandise,True,0.09421365699163631
71053,19654.86,4976,778,727,WHITE METAL LANTERN,Merchandise,True,0.09402966276171984
22633,19521.13,9498,992,858,HAND WARMER UNION JACK,Merchandise,True,0.09338989291339099
21908,19479.510000000002,9839,1004,974,CHOCOLATE THIS WAY METAL SIGN,Merchandise,True,0.09319078111284178
84949,19479.36,12232,722,693,SILVER HANGING T-LIGHT HOLDER,Merchandise,True,0.09319006350664086
22427,19463.56,3238,817,798,ENAMEL FLOWER JUG CREAM,Merchandise,True,0.09311447565347705
21340,19398.11,1772,429,419,CLASSIC METAL BIRDCAGE PLANT HOLDER,Merchandise,True,0.09280136014780799
22041,19371.46,7861,577,555,"RECORD FRAME 7"" SINGLE SIZE ",Merchandise,True,0.0926738654461108
22061,19260.67,2185,526,520,LARGE CAKE STAND  HANGING STRAWBERY,Merchandise,True,0.09214384150610964
22555,19240.02,11882,1006,967,PLASTERS IN TIN STRONGMAN,Merchandise,True,0.09204505105244937
84947,19055.54,16065,714,680,ANTIQUE SILVER TEA GLASS ENGRAVED,Merchandise,True,0.09116249110614183
21035,18951.77,6079,959,929,SET/2 RED RETROSPOT TEA TOWELS ,Merchandise,True,0.09066605113634385
21484,18949.600000000002,4764,917,864,CHICK GREY HOT WATER BOTTLE,Merchandise,True,0.09065566976663718
21121,18930.58,15639,896,873,SET/10 RED POLKADOT PARTY CANDLES,Merchandise,True,0.09056467730036025
22847,18890.09,1191,493,482,BREAD BIN DINER STYLE IVORY,Merchandise,True,0.09037097146652463
22837,18742.170000000002,4008,532,450,HOT WATER BOTTLE BABUSHKA ,Merchandise,True,0.08966331607158856
84945,18596.55,22637,687,653,MULTI COLOUR SILVER T-LIGHT HOLDER,Merchandise,True,0.08896666397173325
21430,18514.2,4741,833,814,SET/3 RED GINGHAM ROSE STORAGE BOX,Merchandise,True,0.08857269816742697
22147,18358.85,13129,1212,1132,FELTCRAFT BUTTERFLY HEARTS,Merchandise,True,0.08782949734533851
22505,18318.08,3818,769,744,MEMO BOARD COTTAGE DESIGN,Merchandise,True,0.08763445197992788
22560,18270.55,15192,776,742,TRADITIONAL MODELLING CLAY,Merchandise,True,0.08740706649506232
21914,18194.35,13308,1006,963,BLUE HARMONICA IN BOX ,Merchandise,True,0.08704252254499383
22654,18135.920000000002,2682,627,597,DELUXE SEWING KIT ,Merchandise,True,0.08676299100952793
22776,18074.68,1762,711,691,SWEETHEART CAKESTAND 3 TIER,Merchandise,True,0.0864700163178981
22352,18067.420000000002,7172,1144,1117,LUNCH BOX WITH CUTLERY RETROSPOT ,Merchandise,True,0.08643528417777346
79323W,18048.72,3004,350,349, WHITE CHERRY LIGHTS,Merchandise,True,0.08634582260472516
22297,17926.6,13871,1015,969,HEART IVORY TRELLIS SMALL,Merchandise,True,0.08576159547634767
22557,17797.96,10598,1191,1126,PLASTERS IN TIN VINTAGE PAISLEY ,Merchandise,True,0.08514617639843679
20718,17730.0,13481,1229,1213,RED RETROSPOT SHOPPER BAG,Merchandise,True,0.08482105294900563
47591D,17685.22,9513,1171,1140,PINK FAIRY CAKE CHILDRENS APRON,Merchandise,True,0.08460682357782366
21136,17661.149999999998,10606,762,739,PAINTED METAL PEARS ASSORTED,Merchandise,True,0.08449167170278232
21889,17612.57,13212,1180,1123,WOODEN BOX OF DOMINOES,Merchandise,True,0.08425926297451032
