StockCode,Description,GrossRevenue,NetRevenue,UnitsSold,SalesLines,Orders,ReturnValue,ReturnedUnits,DescriptionQualityFlag,CommercialValidity,ReturnValueRate,ReturnRisk,CommercialPerformanceScore,StrategicClassification,IsOperationalRecord,IsMissingDescription,HasCommercialActivity,ProductMasterStatus,CommercialPriority,ReturnRiskFlag,IncludeInExecutiveAnalytics,IsNonMerchandise,IsCommercialMerchandise,ExecutiveScope,ScopeReason,RevenueShare,RevenueRank,ExecutiveProductTier
23084,RABBIT NIGHT LIGHT,66870.03,66661.63,30739,1048,1025,-208.40000000000003,108,Commercial Description,Valid,0.0031,Low,0.9957,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0034484717642756704,16,Tier 2 - High Value
22114,HOT WATER BOTTLE TEA AND SYMPATHY,63362.35,62567.15,12420,1695,1600,-795.2,220,Commercial Description,Valid,0.0126,Low,0.9872,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0032366602818773033,17,Tier 2 - High Value
82484,WOOD BLACK BOARD ANT WHITE FINISH,62778.72,62453.72,11046,1233,1201,-325.0,49,Commercial Description,Valid,0.0052,Low,0.9854,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0032307924362782415,18,Tier 2 - High Value
21931,JUMBO STORAGE BAG SUKI,62257.72,61547.09,29489,2422,2364,-710.6300000000001,390,Commercial Description,Valid,0.0114,Low,0.9952,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.003183891573583386,19,Tier 2 - High Value
22502,mailout,61466.470000000016,61030.05,3861,984,952,-436.42,86,Commercial Description,Valid,0.0071,Low,0.9568,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0031571445852333997,20,Tier 2 - High Value
21843,RETRO SPOT CAKE STAND,66348.54999999999,60946.95,6263,1730,1686,-5401.599999999999,600,Commercial Description,Valid,0.0814,Moderate,0.9724,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 2 - High Value,Moderate,True,False,True,Included,Included,0.0031528457404015027,21,Tier 2 - High Value
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,61671.84,60483.29,19580,1551,1448,-1188.5499999999995,449,Commercial Description,Valid,0.0193,Low,0.9923,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0031288601520169396,22,Tier 2 - High Value
21621,VINTAGE UNION JACK BUNTING,60549.54,60005.54,6931,1333,1306,-544.0,64,Commercial Description,Valid,0.009,Low,0.9751,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0031041456740573893,23,Tier 2 - High Value
22112,CHOCOLATE HOT WATER BOTTLE,60644.32000000001,59956.84,11532,1825,1734,-687.48,156,Commercial Description,Valid,0.0113,Low,0.9853,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0031016263751005497,24,Tier 2 - High Value
85099C,JUMBO  BAG BAROQUE BLACK WHITE,60103.56,59532.68,31153,1942,1894,-570.8800000000001,313,Commercial Description,Valid,0.0095,Low,0.9946,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0030796841606132177,25,Tier 2 - High Value
15056N,EDWARDIAN PARASOL NATURAL,58403.79,57563.24,11366,1076,1055,-840.55,155,Commercial Description,Valid,0.0144,Low,0.9847,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0029778030900268087,26,Tier 2 - High Value
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,58149.34999999999,57357.83,27669,2273,2215,-791.52,441,Commercial Description,Valid,0.0136,Low,0.9938,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002967177028451359,27,Tier 2 - High Value
22470,HEART OF WICKER LARGE,55772.02,54743.32000000001,18508,2091,1984,-1028.7,396,Commercial Description,Valid,0.0184,Low,0.9913,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0028319258515386975,28,Tier 2 - High Value
22189,CREAM HEART CARD HOLDER,54547.38,54378.65,18350,1343,1315,-168.72999999999996,43,Commercial Description,Valid,0.0031,Low,0.991,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.00281306111333355,29,Tier 2 - High Value
21212,PACK OF 72 RETRO SPOT CAKE CASES,52948.8,52399.14,96472,3267,3144,-549.6600000000001,1110,Commercial Description,Valid,0.0104,Low,0.9958,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002710659111730809,30,Tier 2 - High Value
20914,SET/5 RED SPOTTY LID GLASS BOWLS,53335.66,52240.310000000005,18952,2187,2116,-1095.35,409,Commercial Description,Valid,0.0205,Low,0.991,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.00270244267942455,31,Tier 2 - High Value
22178,VICTORIAN GLASS HANGING T-LIGHT,53105.59,51840.15,40572,1909,1859,-1265.44,1010,Commercial Description,Valid,0.0238,Low,0.9948,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002681742008570978,32,Tier 2 - High Value
21623,VINTAGE UNION JACK MEMOBOARD,52082.92999999999,51583.73,7196,564,545,-499.19999999999993,56,Commercial Description,Valid,0.0096,Low,0.9746,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0026684771494639393,33,Tier 2 - High Value
22139,RETRO SPOT TEA SET CERAMIC 11 PC,53085.61,51011.61,10649,2176,2154,-2074.0,474,Commercial Description,Valid,0.0391,Low,0.9828,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002638880818474472,34,Tier 2 - High Value
22111,SCOTTIE DOG HOT WATER BOTTLE,51936.86,51000.21,10163,1818,1704,-936.65,217,Commercial Description,Valid,0.018,Low,0.9818,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0026382910852484356,35,Tier 2 - High Value
22469,HEART OF WICKER SMALL,51088.16,50662.06,29013,2303,2180,-426.1000000000001,282,Commercial Description,Valid,0.0083,Low,0.9929,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0026207982527585937,36,Tier 2 - High Value
84946,ANTIQUE SILVER TEA GLASS ETCHED,51148.47,50641.69,37919,1880,1815,-506.78,453,Commercial Description,Valid,0.0099,Low,0.9938,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0026197444925994393,37,Tier 2 - High Value
21181,PLEASE ONE PERSON  METAL SIGN,50818.920000000006,50593.02,25028,1900,1835,-225.90000000000003,114,Commercial Description,Valid,0.0044,Low,0.9917,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0026172267455721416,38,Tier 2 - High Value
21733,RED HANGING HEART T-LIGHT HOLDER,51441.92,50339.670000000006,17960,1876,1796,-1102.25,423,Commercial Description,Valid,0.0214,Low,0.9893,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002604120700588255,39,Tier 2 - High Value
21929,JUMBO BAG PINK VINTAGE PAISLEY,50300.82,49816.85,25937,1674,1642,-483.97,272,Commercial Description,Valid,0.0096,Low,0.9918,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002577074707146471,40,Tier 2 - High Value
21232,STRAWBERRY CERAMIC TRINKET BOX,50660.48,49557.75,38901,2704,2618,-1102.73,948,Commercial Description,Valid,0.0218,Low,0.9934,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0025636712090003288,41,Tier 2 - High Value
22090,PAPER BUNTING RETRO SPOTS,50723.6,49433.45,16798,1745,1716,-1290.15,497,Commercial Description,Valid,0.0254,Low,0.9882,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002557241047597143,42,Tier 2 - High Value
48194,DOORMAT HEARTS,49542.47,49370.3,7835,1383,1360,-172.17,25,Commercial Description,Valid,0.0035,Low,0.9751,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.00255397423591081,43,Tier 2 - High Value
22457,NATURAL SLATE HEART CHALKBOARD,48423.25,48098.45,15687,2138,2078,-324.80000000000007,112,Commercial Description,Valid,0.0067,Low,0.9872,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0024881801829691997,44,Tier 2 - High Value
21731,RED TOADSTOOL LED NIGHT LIGHT,49508.34,48050.44,29696,1611,1562,-1457.9,990,Commercial Description,Valid,0.0294,Low,0.9918,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002485696578391831,45,Tier 2 - High Value
21754,HOME BUILDING BLOCK WORD,47774.74,47543.09,7796,2150,2086,-231.65,39,Commercial Description,Valid,0.0048,Low,0.9745,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0024594508632839753,46,Tier 2 - High Value
84029E,RED WOOLLY HOTTIE WHITE HEART.,47479.83,47152.130000000005,11757,1267,1159,-327.7,86,Commercial Description,Valid,0.0069,Low,0.9824,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002439226117490013,47,Tier 2 - High Value
21523,FANCY FONT HOME SWEET HOME DOORMAT,47194.58,47147.04,7046,1157,1132,-47.54,6,Commercial Description,Valid,0.001,Low,0.972,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0024389628067776857,48,Tier 2 - High Value
48187,DOOR MAT NEW ENGLAND,47026.850000000006,46934.49,7395,1312,1289,-92.36,12,Commercial Description,Valid,0.002,Low,0.973,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002427967385971192,49,Tier 2 - High Value
15056BL,EDWARDIAN PARASOL BLACK,47828.19,46756.84,9600,899,870,-1071.35,213,Commercial Description,Valid,0.0224,Low,0.9786,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0024187773765321254,50,Tier 2 - High Value
21928,JUMBO BAG SCANDINAVIAN PAISLEY,47023.18,46486.6,24743,1598,1569,-536.5799999999999,295,Commercial Description,Valid,0.0114,Low,0.9898,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002404797595215979,51,Tier 2 - High Value
22355,"CHARLOTTE BAG , SUKI DESIGN",46584.990000000005,46440.6,32635,1817,1779,-144.39,187,Commercial Description,Valid,0.0031,Low,0.9914,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0024024179699179376,52,Tier 2 - High Value
22326,"ROUND SNACK BOXES ,SET4, WOODLAND",44943.43000000001,44775.280000000006,15655,1458,1420,-168.15,57,Commercial Description,Valid,0.0037,Low,0.9859,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0023162693264106673,53,Tier 2 - High Value
20727,LUNCH BAG  BLACK SKULL.,46283.89,44504.94,27042,2485,2396,-1778.9500000000005,1211,Commercial Description,Valid,0.0384,Low,0.9901,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002302284371996047,54,Tier 2 - High Value
21915,RED  HARMONICA IN BOX,44680.05,43684.05,38088,1085,1046,-996.0,888,Commercial Description,Valid,0.0223,Low,0.9915,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002259818923932802,55,Tier 2 - High Value
22383,LUNCHBAG SUKI  DESIGN,43836.86,43551.06,25403,2505,2431,-285.79999999999995,188,Commercial Description,Valid,0.0065,Low,0.9894,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0022529392202722247,56,Tier 2 - High Value
82494L,WOODEN FRAME ANTIQUE WHITE,44667.1,43341.25000000001,15601,2096,2017,-1325.85,511,Commercial Description,Valid,0.0297,Low,0.9852,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0022420855423639194,57,Tier 2 - High Value
23298,SPOTTY BUNTING,43148.18000000001,42665.37,8466,1175,1159,-482.81,110,Commercial Description,Valid,0.0112,Low,0.9752,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002207121604397826,58,Tier 2 - High Value
22138,BAKING SET 9 PIECE RETROSPOT,45882.01,41809.26,9366,2141,2127,-4072.749999999999,863,Commercial Description,Valid,0.0888,Moderate,0.9767,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 2 - High Value,Moderate,True,False,True,Included,Included,0.0021628341910520372,59,Tier 2 - High Value
48185,DOOR MAT FAIRY CAKE,46050.990000000005,41372.31,6855,1014,993,-4678.68,692,Commercial Description,Valid,0.1016,Moderate,0.9698,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 2 - High Value,Moderate,True,False,True,Included,Included,0.00214023033726988,60,Tier 2 - High Value
82482,WOODEN PICTURE FRAME WHITE FINISH,42396.03,41327.880000000005,17141,2099,2037,-1068.15,460,Commercial Description,Valid,0.0252,Low,0.9859,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0021379319296178805,61,Tier 2 - High Value
20728,LUNCH BAG CARS BLUE,42695.64,41017.64,24838,2162,2111,-1678.0000000000002,1140,Commercial Description,Valid,0.0393,Low,0.9885,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002121882908912133,62,Tier 2 - High Value
23203,mailout,42030.34,40953.94,20485,1260,1249,-1076.4,590,Commercial Description,Valid,0.0256,Low,0.9874,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002118587645184193,63,Tier 2 - High Value
20713,JUMBO BAG OWLS,41332.89,40883.91,21170,1376,1339,-448.98,252,Commercial Description,Valid,0.0109,Low,0.9876,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0021149649243228483,64,Tier 2 - High Value
21175,GIN + TONIC DIET METAL SIGN,44282.23,40496.65,20856,1715,1673,-3785.58,2035,Commercial Description,Valid,0.0855,Moderate,0.9873,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 2 - High Value,Moderate,True,False,True,Included,Included,0.0020949315831724235,65,Tier 2 - High Value
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,40250.98,40044.73,10746,1136,1097,-206.25,55,Commercial Description,Valid,0.0051,Low,0.9787,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002071553316548708,66,Tier 2 - High Value
22083,PAPER CHAIN KIT RETRO SPOT,41256.41,39855.86,13961,1459,1414,-1400.5500000000002,529,Commercial Description,Valid,0.0339,Low,0.9828,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.002061782885460858,67,Tier 2 - High Value
71477,short,46519.130000000005,39345.26,15719,934,886,-7173.869999999999,2577,Commercial Description,Valid,0.1542,High,0.9841,High Return Risk,False,False,True,Validated Commercial Product,Tier 2 - High Value,High,True,False,True,Included,Included,0.002035369044652598,68,Tier 2 - High Value
84078A,SET/4 WHITE RETRO STORAGE CUBES,43921.51,38733.86,1129,351,350,-5187.65,147,Commercial Description,Valid,0.1181,Moderate,0.8863,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 2 - High Value,Moderate,True,False,True,Included,Included,0.002003740720582542,69,Tier 2 - High Value
22328,"ROUND SNACK BOXES ,SET 4, FRUITS",40407.96,38589.61,14602,1218,1185,-1818.35,701,Commercial Description,Valid,0.045,Low,0.9827,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0019962785260337927,70,Tier 2 - High Value
22960,mailout addition,39639.31,38588.27,9289,1305,1249,-1051.04,256,Commercial Description,Valid,0.0265,Low,0.9749,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0019962092065142407,71,Tier 2 - High Value
22629,SPACEBOY LUNCH BOX,38691.7,38565.85,21193,1430,1382,-125.85,71,Commercial Description,Valid,0.0033,Low,0.9866,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0019950493978363694,72,Tier 2 - High Value
21485,RED SPOT HEART HOT WATER BOTTLE,38585.35,38392.3,7872,1482,1397,-193.05,39,Commercial Description,Valid,0.005,Low,0.9713,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.001986071485434737,73,Tier 2 - High Value
82486,WOOD S/3 CABINET ANT WHITE FINISH,39004.8,38141.7,4853,1371,1318,-863.1,106,Commercial Description,Valid,0.0221,Low,0.9572,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0019731077006588846,74,Tier 2 - High Value
85066,CREAM SWEETHEART MINI CHEST,39173.65,37912.75,3128,1013,988,-1260.9,108,Commercial Description,Valid,0.0322,Low,0.9408,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0019612638917026544,75,Tier 2 - High Value
22699,ROSES REGENCY TEACUP AND SAUCER,39061.14,37745.240000000005,13314,1538,1487,-1315.9,498,Commercial Description,Valid,0.0337,Low,0.9807,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0019525984344488517,76,Tier 2 - High Value
20712,JUMBO BAG WOODLAND ANIMALS,37988.94,37541.33,17936,1465,1434,-447.61,251,Commercial Description,Valid,0.0118,Low,0.9843,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0019420499693505117,77,Tier 2 - High Value
22727,ALARM CLOCK BAKELIKE RED,37857.61,37512.61,9565,1463,1395,-345.0,92,Commercial Description,Valid,0.0091,Low,0.9748,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.001940564255468778,78,Tier 2 - High Value
21166,COOK WITH WINE METAL SIGN,38428.21000000001,37459.03,20063,1487,1446,-969.1799999999998,559,Commercial Description,Valid,0.0252,Low,0.985,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0019377925093064068,79,Tier 2 - High Value
20726,LUNCH BAG WOODLAND,38883.73,37385.78,22301,2024,1966,-1497.9500000000005,1015,Commercial Description,Valid,0.0385,Low,0.9857,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0019340032146741995,80,Tier 2 - High Value
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,37378.79,7483,1469,1462,-730.1,154,Commercial Description,Valid,0.0192,Low,0.9692,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0019336416150908667,81,Tier 2 - High Value
23284,DOORMAT KEEP CALM AND COME IN,38133.64,36532.39,5487,743,739,-1601.25,225,Commercial Description,Valid,0.042,Low,0.9605,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0018898565096069034,82,Tier 2 - High Value
21524,SPOTTY  HOME SWEET HOME DOORMAT,36565.22,36508.83,5329,1179,1156,-56.39,7,Commercial Description,Valid,0.0015,Low,0.9595,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0018886377276064285,83,Tier 2 - High Value
20724,RED SPOTTY CHARLOTTE BAG,35558.23,35305.4,32443,2126,2075,-252.83,321,Commercial Description,Valid,0.0071,Low,0.9871,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0018263831086407316,84,Tier 2 - High Value
22379,RECYCLING BAG RETROSPOT,35362.76,35233.81,16053,1616,1578,-128.95,67,Commercial Description,Valid,0.0036,Low,0.9821,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0018226796874431924,85,Tier 2 - High Value
21755,LOVE BUILDING BLOCK WORD,35356.39,35064.840000000004,5726,1756,1709,-291.55,49,Commercial Description,Valid,0.0082,Low,0.9608,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0018139387029516695,86,Tier 2 - High Value
