StockCode,Description,GrossRevenue,NetRevenue,UnitsSold,SalesLines,Orders,ReturnValue,ReturnedUnits,DescriptionQualityFlag,CommercialValidity,ReturnValueRate,ReturnRisk,CommercialPerformanceScore,StrategicClassification,IsOperationalRecord,IsMissingDescription,HasCommercialActivity,ProductMasterStatus,CommercialPriority,ReturnRiskFlag,IncludeInExecutiveAnalytics,IsNonMerchandise,IsCommercialMerchandise,ExecutiveScope,ScopeReason,RevenueShare,RevenueRank,ExecutiveProductTier,RevenuePerOrder,RevenuePerUnit,DescriptionAnomaly,ReturnAnomaly,HighRevenueAnomaly,HighVolumeLowValueAnomaly,ExtremeRevenuePerOrder,ExtremeRevenuePerUnit,AnomalyScore,AnomalySeverity,RecommendedAction
22656,VINTAGE BLUE KITCHEN CABINET,9290.0,6921.5,45,54,54,-2368.5,13,Commercial Description,Valid,0.255,High,0.6847,High Return Risk,False,False,True,Validated Commercial Product,Tier 3 - Established,High,True,False,True,Included,Included,0.0003580560108781,648,Tier 3 - Established,128.17592592592592,153.8111111111111,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
22833,HALL CABINET WITH 3 DRAWERS,6567.17,6567.169999999999,193,18,15,0.0,0,Commercial Description,Valid,0.0,Low,0.7214,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.0003397261710551,689,Tier 3 - Established,437.81133333333327,34.026787564766835,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
22826,LOVE SEAT ANTIQUE WHITE METAL,6210.0,5692.5,58,45,45,-517.5,4,Commercial Description,Valid,0.0833,Moderate,0.672,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 3 - Established,Moderate,True,False,True,Included,Included,0.0002944786306326,793,Tier 3 - Established,126.5,98.14655172413794,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
22823,CHEST NATURAL WOOD 20 DRAWERS,3655.0,3655.0,32,20,20,0.0,0,Commercial Description,Valid,0.0,Low,0.6109,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001890767492248,1151,Tier 4 - Long Tail,182.75,114.21875,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
20785,FUSCHIA RETRO BAR STOOL,3672.35,3632.4,102,41,40,-39.95,1,Commercial Description,Valid,0.0109,Low,0.6389,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001879076289696,1157,Tier 4 - Long Tail,90.81,35.61176470588235,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
20786,BLACK RETRO BAR STOOL,3533.9,3454.0,99,38,37,-79.9,2,Commercial Description,Valid,0.0226,Low,0.6326,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.000178678821292,1195,Tier 4 - Long Tail,93.35135135135135,34.888888888888886,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
84472,PINK AND LILAC QUILTED THROW,3402.32,3276.42,87,35,35,-125.9,3,Commercial Description,Valid,0.037,Low,0.6224,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001694924330219,1246,Tier 4 - Long Tail,93.61200000000001,37.660000000000004,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,6875.0,3229.3500000000004,12236,8,8,-3645.65,2513,Commercial Description,Valid,0.5303,Very High,0.8225,High Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Critical,True,False,True,Included,Included,0.0001670574555702,1263,Tier 4 - Long Tail,403.66875000000005,0.26392203334423014,False,True,False,False,True,False,2,High Review,Investigate before executive reporting
22828,REGENCY MIRROR WITH SHUTTERS,2730.0,2440.0,18,13,12,-290.0,2,Commercial Description,Valid,0.1062,Moderate,0.5507,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Moderate,True,False,True,Included,Included,0.0001262236027656,1522,Tier 4 - Long Tail,203.33333333333334,135.55555555555554,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
21760,FRENCH STYLE WALL DRESSER,1740.0,1490.0,15,18,17,-250.0,2,Commercial Description,Valid,0.1437,Moderate,0.4796,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Moderate,True,False,True,Included,Included,7.707916726264792e-05,2044,Tier 4 - Long Tail,87.6470588235294,99.33333333333333,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
84965B,BLUE KASHMIRI COFFEE TABLE,1359.95,1359.95,27,6,6,0.0,0,Commercial Description,Valid,0.0,Low,0.4754,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,7.035155269720675e-05,2151,Tier 4 - Long Tail,226.65833333333333,50.36851851851852,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
84965A,PINK KASHMIRI COFFEE TABLE,1050.0,1050.0,20,4,4,0.0,0,Commercial Description,Valid,0.0,Low,0.4334,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,5.431753397703377e-05,2425,Tier 4 - Long Tail,262.5,52.5,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
84964B,BLUE PAINTED KASHMIRI TABLE,990.0,990.0,17,4,4,0.0,0,Commercial Description,Valid,0.0,Low,0.4206,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,5.121367489263184e-05,2501,Tier 4 - Long Tail,247.5,58.23529411764706,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
84963A,PINK PAINTED KASHMIRI CHAIR,935.15,935.15,27,11,10,0.0,0,Commercial Description,Valid,0.0,Low,0.4217,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,4.837623037964108e-05,2557,Tier 4 - Long Tail,93.515,34.635185185185186,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
84964A,PINK PAINTED KASHMIRI TABLE,630.0,630.0,11,5,5,0.0,0,Commercial Description,Valid,0.0,Low,0.3531,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,3.259052038622026e-05,2966,Tier 4 - Long Tail,126.0,57.27272727272727,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
84963B,BLUE PAINTED KASHMIRI CHAIR,591.5,591.5,18,6,6,0.0,0,Commercial Description,Valid,0.0,Low,0.3503,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,3.059887747372902e-05,3036,Tier 4 - Long Tail,98.58333333333333,32.861111111111114,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
85070,ANT WHITE SWEETHEART TABLE W 3 DRAW,320.0,195.0,3,6,6,-125.0,1,Commercial Description,Valid,0.3906,Very High,0.2318,High Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Critical,True,False,True,Included,Included,1.008754202430627e-05,3781,Tier 4 - Long Tail,32.5,65.0,False,True,False,False,False,True,2,High Review,Investigate before executive reporting
84967A,PINK KASHMIRI OCCASIONAL TABLE,174.9,94.95,3,5,5,-79.95,1,Commercial Description,Valid,0.4571,Very High,0.1871,High Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Critical,True,False,True,Included,Included,4.911857001066054e-06,4118,Tier 4 - Long Tail,18.990000000000002,31.650000000000002,False,True,False,False,False,True,2,High Review,Investigate before executive reporting
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,0.0,80995,2,2,-168469.6,80995,Commercial Description,Valid,1.0,Very High,0.329,Review / Operational,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Critical,True,False,True,Included,Included,0.0,4887,Tier 4 - Long Tail,0.0,0.0,False,True,False,True,False,False,2,High Review,Investigate before executive reporting
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,74380.07,73745.87,32498,835,767,-634.2,18750,Commercial Description,Valid,0.0085,Low,0.9969,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0038149464756103,10,Tier 2 - High Value,96.14846153846153,2.2692433380515724,False,False,False,False,True,False,1,Monitor,No immediate action
21137,BLACK RECORD COVER FRAME,69295.72,69213.43000000001,19945,657,642,-82.28999999999999,23,Commercial Description,Valid,0.0012,Low,0.9938,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0035804788911352,12,Tier 2 - High Value,107.80908099688475,3.470214590122838,False,False,False,False,True,False,1,Monitor,No immediate action
21623,VINTAGE UNION JACK MEMOBOARD,52082.92999999999,51583.73,7196,564,545,-499.19999999999993,56,Commercial Description,Valid,0.0096,Low,0.9746,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0026684771494639,33,Tier 2 - High Value,94.64904587155964,7.168389382990551,False,False,False,False,True,False,1,Monitor,No immediate action
84467,ENGLISH ROSE DESIGN QUILTED THROW,17477.660000000003,17397.76,816,90,90,-79.9,2,Commercial Description,Valid,0.0046,Low,0.8447,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.0009000032570707,246,Tier 3 - Established,193.30844444444443,21.32078431372549,False,False,False,False,True,False,1,Monitor,No immediate action
23200,mailout,14188.960000000005,13945.33,7067,605,602,-243.63000000000005,134,Commercial Description,Valid,0.0172,Low,0.9374,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.0007214056534247,312,Tier 3 - Established,23.165,1.973302674402151,True,False,False,False,False,False,1,Monitor,Validate product description / SKU mapping
C2,CARRIAGE,13676.0,13386.0,273,282,277,-290.0,7,Commercial Description,Valid,0.0212,Low,0.7826,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.00069247096173,329,Tier 3 - Established,48.324909747292416,49.032967032967036,False,False,False,False,False,True,1,Monitor,No immediate action
62018,SOMBRERO,12456.7,12456.7,9570,130,127,0.0,0,Commercial Description,Valid,0.0,Low,0.9374,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.0006443973576111,362,Tier 3 - Established,98.08425196850395,1.3016405433646814,False,False,False,False,True,False,1,Monitor,No immediate action
79323W,WHITE CHERRY LIGHTS,18048.72,11627.62,3004,478,475,-6421.099999999999,1088,Commercial Description,Valid,0.3558,Very High,0.8975,High Return Risk,False,False,True,Validated Commercial Product,Tier 3 - Established,Critical,True,False,True,Included,Included,0.0006015082327828,394,Tier 3 - Established,24.479200000000002,3.870712383488682,False,True,False,False,False,False,1,Monitor,Investigate return behaviour
16014,SMALL CHINESE STYLE SCISSOR,9839.4,9839.4,30370,97,93,0.0,0,Commercial Description,Valid,0.0,Low,0.9346,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.000509001851251,479,Tier 3 - Established,105.8,0.32398419492920644,False,False,False,False,True,False,1,Monitor,No immediate action
51008,AFGHAN SLIPPER SOCK PAIR,9179.25,8125.2,2865,95,91,-1054.0500000000002,349,Commercial Description,Valid,0.1148,Moderate,0.8731,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 3 - Established,Moderate,True,False,True,Included,Included,0.0004203245972097,564,Tier 3 - Established,89.28791208791209,2.836020942408377,False,False,False,False,True,False,1,Monitor,No immediate action
23553,LANDMARK FRAME CAMDEN TOWN,6444.650000000001,6444.65,568,68,68,0.0,0,Commercial Description,Valid,0.0,Low,0.7662,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.0003333880908048,706,Tier 3 - Established,94.77426470588235,11.346214788732393,False,False,False,False,True,False,1,Monitor,No immediate action
22783,SET 3 WICKER OVAL BASKETS W LIDS,6443.95,6443.95,489,50,46,0.0,0,Commercial Description,Valid,0.0,Low,0.7598,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.0003333518791155,707,Tier 3 - Established,140.0858695652174,13.177811860940695,False,False,False,False,True,False,1,Monitor,No immediate action
23134,LARGE ZINC HEART WALL ORGANISER,6431.110000000001,6431.110000000001,1065,40,40,0.0,0,Commercial Description,Valid,0.0,Low,0.7984,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.0003326876532714,709,Tier 3 - Established,160.77775000000003,6.038600938967137,False,False,False,False,True,False,1,Monitor,No immediate action
22830,UTILTY CABINET WITH HOOKS,6324.049999999999,6324.05,309,24,20,0.0,0,Commercial Description,Valid,0.0,Low,0.7361,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.0003271493340452,723,Tier 3 - Established,316.2025,20.466181229773465,False,False,False,False,True,False,1,Monitor,No immediate action
79323LP,LIGHT PINK CHERRY LIGHTS,8481.19,5778.39,1433,232,231,-2702.8,458,Commercial Description,Valid,0.3187,Very High,0.8048,High Return Risk,False,False,True,Validated Commercial Product,Tier 3 - Established,Critical,True,False,True,Included,Included,0.0002989218049119,787,Tier 3 - Established,25.014675324675327,4.032372644801117,False,True,False,False,False,False,1,Monitor,Investigate return behaviour
23135,SMALL ZINC HEART WALL ORGANISER,5416.180000000001,5416.18,1541,48,48,0.0,0,Commercial Description,Valid,0.0,Low,0.8038,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.0002801843249292,829,Tier 3 - Established,112.83708333333334,3.5147177157689815,False,False,False,False,True,False,1,Monitor,No immediate action
23556,LANDMARK FRAME COVENT GARDEN,4937.01,4924.51,436,54,54,-12.5,1,Commercial Description,Valid,0.0025,Low,0.7292,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0002547497516621,899,Tier 4 - Long Tail,91.19462962962963,11.294747706422019,False,False,False,False,True,False,1,Monitor,No immediate action
23555,LANDMARK FRAME NOTTING HILL,4780.570000000001,4780.57,421,51,50,0.0,0,Commercial Description,Valid,0.0,Low,0.7252,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0002473035937186,914,Tier 4 - Long Tail,95.61139999999999,11.355273159144893,False,False,False,False,True,False,1,Monitor,No immediate action
23558,LANDMARK FRAME LONDON BRIDGE,4703.87,4703.87,415,52,52,0.0,0,Commercial Description,Valid,0.0,Low,0.7219,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.000243335827189,933,Tier 4 - Long Tail,90.45903846153846,11.334626506024096,False,False,False,False,True,False,1,Monitor,No immediate action
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.91999999998,4221.28,78033,260,257,-77479.64000000001,74494,Commercial Description,Valid,0.9483,Very High,0.8632,High Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Critical,True,False,True,Included,Included,0.0002183709712634,1032,Tier 4 - Long Tail,16.4252140077821,0.05409608755270206,False,True,False,False,False,False,1,Monitor,Investigate return behaviour
23557,LANDMARK FRAME BAKER STREET,3930.27,3930.27,350,32,32,0.0,0,Commercial Description,Valid,0.0,Low,0.6944,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0002033167373942,1086,Tier 4 - Long Tail,122.8209375,11.229342857142857,False,False,False,False,True,False,1,Monitor,No immediate action
22790,"MIRROR, ARCHED GEORGIAN",3884.000000000001,3884.000000000001,200,1,1,0.0,0,Commercial Description,Valid,0.0,Low,0.6692,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0002009231447302,1093,Tier 4 - Long Tail,3884.000000000001,19.420000000000005,False,False,False,False,True,False,1,Monitor,No immediate action
22341,LOVE GARLAND PAINTED ZINC,5725.41,3867.21,3481,254,249,-1858.2,1196,Commercial Description,Valid,0.3246,Very High,0.8101,High Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Critical,True,False,True,Included,Included,0.0002000545814964,1097,Tier 4 - Long Tail,15.530963855421687,1.1109480034472852,False,True,False,False,False,False,1,Monitor,Investigate return behaviour
22962,Mailout,3872.05,3799.93,4630,403,377,-72.11999999999999,85,Commercial Description,Valid,0.0186,Low,0.8177,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001965741208431,1117,Tier 4 - Long Tail,10.079389920424402,0.820719222462203,True,False,False,False,False,False,1,Monitor,Validate product description / SKU mapping
20784,RED RETRO BAR STOOL,3570.87,3530.92,101,42,42,-39.95,1,Commercial Description,Valid,0.0112,Low,0.6355,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001826579686382,1180,Tier 4 - Long Tail,84.06952380952382,34.95960396039604,False,False,False,False,False,True,1,Monitor,No immediate action
22764,"RUSTIC WOODEN CABINET, GLASS DOORS",3462.49,3368.69,183,29,29,-93.8,4,Commercial Description,Valid,0.0271,Low,0.6498,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001742656509838,1221,Tier 4 - Long Tail,116.16172413793103,18.40814207650273,False,False,False,False,True,False,1,Monitor,No immediate action
37410,BLACK AND WHITE PAISLEY FLOWER MUG,3288.6500000000005,3281.15,25707,37,37,-7.5,6,Commercial Description,Valid,0.0023,Low,0.8327,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001697371205797,1244,Tier 4 - Long Tail,88.67972972972973,0.1276364414361847,False,False,False,False,True,False,1,Monitor,No immediate action
22803,IVORY EMBROIDERED QUILT,2925.49,2925.49,78,45,36,0.0,0,Commercial Description,Valid,0.0,Low,0.6051,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001513384785471,1357,Tier 4 - Long Tail,81.2636111111111,37.50628205128205,False,False,False,False,False,True,1,Monitor,No immediate action
85184D,S/4 BLUE ROUND DECOUPAGE BOXES,4546.78,2881.86,8311,70,70,-1664.9199999999998,3940,Commercial Description,Valid,0.3662,Very High,0.8021,High Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Critical,True,False,True,Included,Included,0.0001490814556829,1365,Tier 4 - Long Tail,41.169428571428575,0.34675249669113223,False,True,False,False,False,False,1,Monitor,Investigate return behaviour
20787,BLUE RETRO BAR STOOL,2535.1,2535.1,69,38,35,0.0,0,Commercial Description,Valid,0.0,Low,0.5844,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001311432194144,1488,Tier 4 - Long Tail,72.43142857142857,36.74057971014493,False,False,False,False,False,True,1,Monitor,No immediate action
21686,MEDINA STAMPED METAL STOOL,2500.09,2250.44,66,38,37,-249.65,7,Commercial Description,Valid,0.0999,Moderate,0.5666,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Moderate,True,False,True,Included,Included,0.0001164174772983,1616,Tier 4 - Long Tail,60.822702702702706,34.09757575757576,False,False,False,False,False,True,1,Monitor,No immediate action
23064,CINDERELLA CHANDELIER,3717.56,2203.51,221,34,34,-1514.0500000000002,71,Commercial Description,Valid,0.4073,Very High,0.6018,High Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Critical,True,False,True,Included,Included,0.0001139897421845,1634,Tier 4 - Long Tail,64.80911764705883,9.970633484162898,False,True,False,False,False,False,1,Monitor,Investigate return behaviour
22824,3 TIER SWEETHEART GARDEN SHELF,2225.8499999999995,2189.9,63,51,49,-35.95,1,Commercial Description,Valid,0.0162,Low,0.5619,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001132856834821,1642,Tier 4 - Long Tail,44.69183673469388,34.76031746031746,False,False,False,False,False,True,1,Monitor,No immediate action
79323GR,GREEN CHERRY LIGHTS,3209.36,2040.86,532,123,123,-1168.5000000000002,194,Commercial Description,Valid,0.3641,Very High,0.6303,High Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Critical,True,False,True,Included,Included,0.0001055756975165,1713,Tier 4 - Long Tail,16.592357723577233,3.836203007518797,False,True,False,False,False,False,1,Monitor,Investigate return behaviour
85162B,BLACK RETRODISC LAMPSHADE,1905.15,1905.15,977,14,14,0.0,0,Commercial Description,Valid,0.0,Low,0.6511,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,9.855528557747228e-05,1785,Tier 4 - Long Tail,136.08214285714286,1.9500000000000002,False,False,False,False,True,False,1,Monitor,No immediate action
79341,WILLOW BRANCH LIGHTS.,4423.69,1904.09,725,106,104,-2519.6,448,Commercial Description,Valid,0.5696,Very High,0.6353,High Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Critical,True,False,True,Included,Included,9.850045073364784e-05,1786,Tier 4 - Long Tail,18.30855769230769,2.6263310344827584,False,True,False,False,False,False,1,Monitor,Investigate return behaviour
21761,WOOD AND GLASS MEDICINE CABINET,1874.65,1844.7,67,29,27,-29.95,1,Commercial Description,Valid,0.016,Low,0.5392,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,9.542814754993732e-05,1826,Tier 4 - Long Tail,68.32222222222222,27.532835820895524,False,False,False,False,False,True,1,Monitor,No immediate action
21096,SET/6 FRUIT SALAD  PAPER PLATES,2711.71,1800.6699999999998,15919,144,144,-911.04,7008,Commercial Description,Valid,0.336,Very High,0.7487,High Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Critical,True,False,True,Included,Included,9.31504322918337e-05,1852,Tier 4 - Long Tail,12.504652777777777,0.11311451724354545,False,True,False,False,False,False,1,Monitor,Investigate return behaviour
15059A,ENGLISH ROSE EDWARDIAN PARASOL,1567.0,1567.0,509,5,5,0.0,0,Commercial Description,Valid,0.0,Low,0.5928,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,8.106245308763039e-05,1985,Tier 4 - Long Tail,313.4,3.0785854616895874,False,False,False,False,True,False,1,Monitor,No immediate action
