StockCode,Description,GrossRevenue,NetRevenue,UnitsSold,SalesLines,Orders,ReturnValue,ReturnedUnits,DescriptionQualityFlag,CommercialValidity,ReturnValueRate,ReturnRisk,CommercialPerformanceScore,StrategicClassification
21931,JUMBO STORAGE BAG SUKI,62257.72,61547.090000000004,29489,2422,2364,-710.6300000000001,390,Commercial Description,Valid,0.0114,Low,0.9952,Core Commercial Product
22502,mailout,61466.470000000016,61030.05,3861,984,952,-436.41999999999996,86,Commercial Description,Valid,0.0071,Low,0.9568,Core Commercial Product
21843,RETRO SPOT CAKE STAND,66348.54999999999,60946.95,6263,1730,1686,-5401.599999999999,600,Commercial Description,Valid,0.0814,Moderate,0.9724,Monitor Return Risk
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,61671.84,60483.29,19580,1551,1448,-1188.5499999999997,449,Commercial Description,Valid,0.0193,Low,0.9923,Core Commercial Product
21621,VINTAGE UNION JACK BUNTING,60549.54,60005.54,6931,1333,1306,-544.0,64,Commercial Description,Valid,0.009,Low,0.9751,Core Commercial Product
22112,CHOCOLATE HOT WATER BOTTLE,60644.32000000001,59956.840000000004,11532,1825,1734,-687.48,156,Commercial Description,Valid,0.0113,Low,0.9853,Core Commercial Product
85099C,JUMBO  BAG BAROQUE BLACK WHITE,60103.56,59532.68,31153,1942,1894,-570.8800000000001,313,Commercial Description,Valid,0.0095,Low,0.9946,Core Commercial Product
15056N,EDWARDIAN PARASOL NATURAL,58403.79,57563.24,11366,1076,1055,-840.55,155,Commercial Description,Valid,0.0144,Low,0.9847,Core Commercial Product
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,58149.34999999999,57357.83,27669,2273,2215,-791.52,441,Commercial Description,Valid,0.0136,Low,0.9938,Core Commercial Product
22470,HEART OF WICKER LARGE,55772.020000000004,54743.32000000001,18508,2091,1984,-1028.7,396,Commercial Description,Valid,0.0184,Low,0.9913,Core Commercial Product
22189,CREAM HEART CARD HOLDER,54547.38,54378.65,18350,1343,1315,-168.72999999999996,43,Commercial Description,Valid,0.0031,Low,0.991,Core Commercial Product
21212,PACK OF 72 RETRO SPOT CAKE CASES,52948.799999999996,52399.14,96472,3267,3144,-549.6600000000001,1110,Commercial Description,Valid,0.0104,Low,0.9958,Core Commercial Product
20914,SET/5 RED SPOTTY LID GLASS BOWLS,53335.66,52240.310000000005,18952,2187,2116,-1095.35,409,Commercial Description,Valid,0.0205,Low,0.991,Core Commercial Product
22178,VICTORIAN GLASS HANGING T-LIGHT,53105.59,51840.15,40572,1909,1859,-1265.44,1010,Commercial Description,Valid,0.0238,Low,0.9948,Core Commercial Product
21623,VINTAGE UNION JACK MEMOBOARD,52082.92999999999,51583.729999999996,7196,564,545,-499.19999999999993,56,Commercial Description,Valid,0.0096,Low,0.9746,Core Commercial Product
22139,RETRO SPOT TEA SET CERAMIC 11 PC,53085.61,51011.61,10649,2176,2154,-2074.0,474,Commercial Description,Valid,0.0391,Low,0.9828,Core Commercial Product
22111,SCOTTIE DOG HOT WATER BOTTLE,51936.86,51000.21,10163,1818,1704,-936.65,217,Commercial Description,Valid,0.018,Low,0.9818,Core Commercial Product
22469,HEART OF WICKER SMALL,51088.16,50662.06,29013,2303,2180,-426.1000000000001,282,Commercial Description,Valid,0.0083,Low,0.9929,Core Commercial Product
84946,ANTIQUE SILVER TEA GLASS ETCHED,51148.47,50641.69,37919,1880,1815,-506.78000000000003,453,Commercial Description,Valid,0.0099,Low,0.9938,Core Commercial Product
21181,PLEASE ONE PERSON  METAL SIGN,50818.920000000006,50593.020000000004,25028,1900,1835,-225.90000000000003,114,Commercial Description,Valid,0.0044,Low,0.9917,Core Commercial Product
21733,RED HANGING HEART T-LIGHT HOLDER,51441.92,50339.670000000006,17960,1876,1796,-1102.25,423,Commercial Description,Valid,0.0214,Low,0.9893,Core Commercial Product
21929,JUMBO BAG PINK VINTAGE PAISLEY,50300.82,49816.85,25937,1674,1642,-483.97,272,Commercial Description,Valid,0.0096,Low,0.9918,Core Commercial Product
21232,STRAWBERRY CERAMIC TRINKET BOX,50660.479999999996,49557.75,38901,2704,2618,-1102.73,948,Commercial Description,Valid,0.0218,Low,0.9934,Core Commercial Product
22090,PAPER BUNTING RETRO SPOTS,50723.6,49433.450000000004,16798,1745,1716,-1290.15,497,Commercial Description,Valid,0.0254,Low,0.9882,Core Commercial Product
48194,DOORMAT HEARTS,49542.47,49370.3,7835,1383,1360,-172.17,25,Commercial Description,Valid,0.0035,Low,0.9751,Core Commercial Product
22457,NATURAL SLATE HEART CHALKBOARD,48423.25,48098.450000000004,15687,2138,2078,-324.80000000000007,112,Commercial Description,Valid,0.0067,Low,0.9872,Core Commercial Product
21731,RED TOADSTOOL LED NIGHT LIGHT,49508.34,48050.44,29696,1611,1562,-1457.9,990,Commercial Description,Valid,0.0294,Low,0.9918,Core Commercial Product
21754,HOME BUILDING BLOCK WORD,47774.74,47543.090000000004,7796,2150,2086,-231.64999999999998,39,Commercial Description,Valid,0.0048,Low,0.9745,Core Commercial Product
84029E,RED WOOLLY HOTTIE WHITE HEART.,47479.83,47152.130000000005,11757,1267,1159,-327.7,86,Commercial Description,Valid,0.0069,Low,0.9824,Core Commercial Product
21523,FANCY FONT HOME SWEET HOME DOORMAT,47194.58,47147.04,7046,1157,1132,-47.54,6,Commercial Description,Valid,0.001,Low,0.972,Core Commercial Product
48187,DOOR MAT NEW ENGLAND,47026.850000000006,46934.49,7395,1312,1289,-92.36000000000001,12,Commercial Description,Valid,0.002,Low,0.973,Core Commercial Product
15056BL,EDWARDIAN PARASOL BLACK,47828.19,46756.840000000004,9600,899,870,-1071.3500000000001,213,Commercial Description,Valid,0.0224,Low,0.9786,Core Commercial Product
21928,JUMBO BAG SCANDINAVIAN PAISLEY,47023.18,46486.6,24743,1598,1569,-536.5799999999999,295,Commercial Description,Valid,0.0114,Low,0.9898,Core Commercial Product
22355,"CHARLOTTE BAG , SUKI DESIGN",46584.990000000005,46440.6,32635,1817,1779,-144.39,187,Commercial Description,Valid,0.0031,Low,0.9914,Core Commercial Product
22326,"ROUND SNACK BOXES ,SET4, WOODLAND",44943.43000000001,44775.280000000006,15655,1458,1420,-168.15,57,Commercial Description,Valid,0.0037,Low,0.9859,Core Commercial Product
20727,LUNCH BAG  BLACK SKULL.,46283.89,44504.94,27042,2485,2396,-1778.9500000000003,1211,Commercial Description,Valid,0.0384,Low,0.9901,Core Commercial Product
21915,RED  HARMONICA IN BOX,44680.049999999996,43684.05,38088,1085,1046,-996.0,888,Commercial Description,Valid,0.0223,Low,0.9915,Core Commercial Product
22383,LUNCHBAG SUKI  DESIGN,43836.86,43551.06,25403,2505,2431,-285.79999999999995,188,Commercial Description,Valid,0.0065,Low,0.9894,Core Commercial Product
82494L,WOODEN FRAME ANTIQUE WHITE,44667.1,43341.25000000001,15601,2096,2017,-1325.8500000000001,511,Commercial Description,Valid,0.0297,Low,0.9852,Core Commercial Product
23298,SPOTTY BUNTING,43148.18000000001,42665.37,8466,1175,1159,-482.80999999999995,110,Commercial Description,Valid,0.0112,Low,0.9752,Core Commercial Product
22138,BAKING SET 9 PIECE RETROSPOT,45882.009999999995,41809.26,9366,2141,2127,-4072.749999999999,863,Commercial Description,Valid,0.0888,Moderate,0.9767,Monitor Return Risk
48185,DOOR MAT FAIRY CAKE,46050.990000000005,41372.31,6855,1014,993,-4678.68,692,Commercial Description,Valid,0.1016,Moderate,0.9698,Monitor Return Risk
82482,WOODEN PICTURE FRAME WHITE FINISH,42396.03,41327.880000000005,17141,2099,2037,-1068.15,460,Commercial Description,Valid,0.0252,Low,0.9859,Core Commercial Product
20728,LUNCH BAG CARS BLUE,42695.64,41017.64,24838,2162,2111,-1678.0000000000002,1140,Commercial Description,Valid,0.0393,Low,0.9885,Core Commercial Product
23203,mailout,42030.34,40953.94,20485,1260,1249,-1076.4,590,Commercial Description,Valid,0.0256,Low,0.9874,Core Commercial Product
20713,JUMBO BAG OWLS,41332.89,40883.91,21170,1376,1339,-448.97999999999996,252,Commercial Description,Valid,0.0109,Low,0.9876,Core Commercial Product
21175,GIN + TONIC DIET METAL SIGN,44282.23,40496.65,20856,1715,1673,-3785.58,2035,Commercial Description,Valid,0.0855,Moderate,0.9873,Monitor Return Risk
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,40250.979999999996,40044.73,10746,1136,1097,-206.25,55,Commercial Description,Valid,0.0051,Low,0.9787,Core Commercial Product
22083,PAPER CHAIN KIT RETRO SPOT,41256.41,39855.86,13961,1459,1414,-1400.5500000000002,529,Commercial Description,Valid,0.0339,Low,0.9828,Core Commercial Product
71477,short,46519.130000000005,39345.26,15719,934,886,-7173.869999999999,2577,Commercial Description,Valid,0.1542,High,0.9841,High Return Risk
84078A,SET/4 WHITE RETRO STORAGE CUBES,43921.509999999995,38733.86,1129,351,350,-5187.65,147,Commercial Description,Valid,0.1181,Moderate,0.8863,Monitor Return Risk
22328,"ROUND SNACK BOXES ,SET 4, FRUITS",40407.96,38589.61,14602,1218,1185,-1818.35,701,Commercial Description,Valid,0.045,Low,0.9827,Core Commercial Product
22960,mailout addition,39639.31,38588.27,9289,1305,1249,-1051.04,256,Commercial Description,Valid,0.0265,Low,0.9749,Core Commercial Product
22629,SPACEBOY LUNCH BOX,38691.7,38565.85,21193,1430,1382,-125.85000000000001,71,Commercial Description,Valid,0.0033,Low,0.9866,Core Commercial Product
21485,RED SPOT HEART HOT WATER BOTTLE,38585.35,38392.3,7872,1482,1397,-193.04999999999998,39,Commercial Description,Valid,0.005,Low,0.9713,Core Commercial Product
82486,WOOD S/3 CABINET ANT WHITE FINISH,39004.799999999996,38141.7,4853,1371,1318,-863.1,106,Commercial Description,Valid,0.0221,Low,0.9572,Core Commercial Product
85066,CREAM SWEETHEART MINI CHEST,39173.65,37912.75,3128,1013,988,-1260.9,108,Commercial Description,Valid,0.0322,Low,0.9408,Core Commercial Product
22699,ROSES REGENCY TEACUP AND SAUCER,39061.14,37745.240000000005,13314,1538,1487,-1315.9,498,Commercial Description,Valid,0.0337,Low,0.9807,Core Commercial Product
20712,JUMBO BAG WOODLAND ANIMALS,37988.94,37541.33,17936,1465,1434,-447.61,251,Commercial Description,Valid,0.0118,Low,0.9843,Core Commercial Product
22727,ALARM CLOCK BAKELIKE RED,37857.61,37512.61,9565,1463,1395,-345.0,92,Commercial Description,Valid,0.0091,Low,0.9748,Core Commercial Product
21166,COOK WITH WINE METAL SIGN,38428.21000000001,37459.03,20063,1487,1446,-969.1799999999998,559,Commercial Description,Valid,0.0252,Low,0.985,Core Commercial Product
20726,LUNCH BAG WOODLAND,38883.729999999996,37385.78,22301,2024,1966,-1497.9500000000003,1015,Commercial Description,Valid,0.0385,Low,0.9857,Core Commercial Product
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,37378.79,7483,1469,1462,-730.1,154,Commercial Description,Valid,0.0192,Low,0.9692,Core Commercial Product
23284,DOORMAT KEEP CALM AND COME IN,38133.64,36532.39,5487,743,739,-1601.25,225,Commercial Description,Valid,0.042,Low,0.9605,Core Commercial Product
21524,SPOTTY  HOME SWEET HOME DOORMAT,36565.22,36508.83,5329,1179,1156,-56.39,7,Commercial Description,Valid,0.0015,Low,0.9595,Core Commercial Product
20724,RED SPOTTY CHARLOTTE BAG,35558.229999999996,35305.4,32443,2126,2075,-252.82999999999998,321,Commercial Description,Valid,0.0071,Low,0.9871,Core Commercial Product
22379,RECYCLING BAG RETROSPOT,35362.76,35233.81,16053,1616,1578,-128.95,67,Commercial Description,Valid,0.0036,Low,0.9821,Core Commercial Product
21755,LOVE BUILDING BLOCK WORD,35356.39,35064.840000000004,5726,1756,1709,-291.55,49,Commercial Description,Valid,0.0082,Low,0.9608,Core Commercial Product
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,34949.56,34566.73,9378,1058,1026,-382.83000000000004,109,Commercial Description,Valid,0.011,Low,0.9731,Core Commercial Product
22384,LUNCHBAG PINK RETROSPOT,34425.810000000005,33990.96,20988,2196,2144,-434.85,285,Commercial Description,Valid,0.0126,Low,0.9844,Core Commercial Product
22382,LUNCHBAG SPACEBOY DESIGN,34317.59,33930.34,20386,2223,2174,-387.25,253,Commercial Description,Valid,0.0113,Low,0.9839,Core Commercial Product
21479,WHITE SKULL HOT WATER BOTTLE,34560.68,33883.5,6857,1040,943,-677.1800000000001,196,Commercial Description,Valid,0.0196,Low,0.966,Core Commercial Product
22666,RECIPE BOX PANTRY YELLOW DESIGN,34421.2,33765.65,10928,1789,1727,-655.5500000000001,237,Commercial Description,Valid,0.019,Low,0.9755,Core Commercial Product
22726,ALARM CLOCK BAKELIKE GREEN,33666.34,33415.09,7935,1368,1298,-251.25,67,Commercial Description,Valid,0.0075,Low,0.9691,Core Commercial Product
22630,DOLLY GIRL LUNCH BOX,33923.45,33322.25,18334,1404,1354,-601.2,338,Commercial Description,Valid,0.0177,Low,0.9825,Core Commercial Product
22188,BLACK HEART CARD HOLDER,33197.05,33177.3,12483,589,570,-19.75,5,Commercial Description,Valid,0.0006,Low,0.9771,Core Commercial Product
22865,HAND WARMER OWL DESIGN,33394.91,33031.86,15471,1355,1228,-363.05000000000007,173,Commercial Description,Valid,0.0109,Low,0.9802,Core Commercial Product
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,32942.86,32623.38,8852,986,962,-319.48,92,Commercial Description,Valid,0.0097,Low,0.9713,Core Commercial Product
15036,ASSORTED COLOURS SILK FAN,33041.55,32397.52,44365,1020,1008,-644.03,929,Commercial Description,Valid,0.0195,Low,0.9864,Core Commercial Product
22385,JUMBO BAG SPACEBOY DESIGN,32735.2,32009.76,17220,1289,1262,-725.4399999999999,426,Commercial Description,Valid,0.0222,Low,0.9811,Core Commercial Product
22077,6 RIBBONS RUSTIC CHARM,32142.040000000005,31939.09,17526,1840,1768,-202.95000000000002,123,Commercial Description,Valid,0.0063,Low,0.981,Core Commercial Product
85152,HAND OVER THE CHOCOLATE   SIGN,31976.56,31785.050000000003,16603,1514,1471,-191.51000000000002,101,Commercial Description,Valid,0.006,Low,0.9803,Core Commercial Product
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,31927.129999999997,31707.43,7307,1114,1020,-219.7,60,Commercial Description,Valid,0.0069,Low,0.966,Core Commercial Product
22622,BOX OF VINTAGE ALPHABET BLOCKS,32144.039999999994,31584.69,3240,608,577,-559.3499999999999,61,Commercial Description,Valid,0.0174,Low,0.9386,Core Commercial Product
48184,DOOR MAT ENGLISH ROSE,31551.32,31465.25,4770,876,863,-86.07000000000001,11,Commercial Description,Valid,0.0027,Low,0.9525,Core Commercial Product
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,31088.230000000003,30983.13,6196,929,912,-105.10000000000001,18,Commercial Description,Valid,0.0034,Low,0.9611,Core Commercial Product
22697,GREEN REGENCY TEACUP AND SAUCER,31431.67,30901.27,10077,1467,1414,-530.4000000000002,192,Commercial Description,Valid,0.0169,Low,0.9723,Core Commercial Product
23245,SET OF 3 REGENCY CAKE TINS,31118.550000000003,30697.050000000003,6345,913,910,-421.4999999999999,90,Commercial Description,Valid,0.0135,Low,0.9619,Core Commercial Product
22659,LUNCHBOX I LOVE LONDON,31142.57,30561.02,16838,1169,1097,-581.5500000000001,341,Commercial Description,Valid,0.0187,Low,0.9796,Core Commercial Product
20679,EDWARDIAN PARASOL RED,30649.47,30542.370000000003,6256,747,726,-107.10000000000002,18,Commercial Description,Valid,0.0035,Low,0.9609,Core Commercial Product
22866,HAND WARMER SCOTTY DOG DESIGN,30323.640000000003,30064.140000000003,13723,1224,1095,-259.50000000000006,135,Commercial Description,Valid,0.0086,Low,0.977,Core Commercial Product
22158,3 HEARTS HANGING DECORATION RUSTIC,30197.28,29954.43,9341,786,736,-242.85000000000002,83,Commercial Description,Valid,0.008,Low,0.9699,Core Commercial Product
21217,RED SPOTTY ROUND CAKE TINS,30393.48,29879.13,2952,989,958,-514.3499999999999,53,Commercial Description,Valid,0.0169,Low,0.9343,Core Commercial Product
22501,mailout,30768.589999999997,29581.739999999998,2637,833,811,-1186.8500000000001,134,Commercial Description,Valid,0.0386,Low,0.929,Core Commercial Product
22867,HAND WARMER BIRD DESIGN,29484.320000000007,29312.120000000003,13426,1199,1063,-172.2,82,Commercial Description,Valid,0.0058,Low,0.976,Core Commercial Product
47590B,PINK HAPPY BIRTHDAY BUNTING,29532.93,29239.88,5768,897,884,-293.05000000000007,57,Commercial Description,Valid,0.0099,Low,0.9575,Core Commercial Product
23199,JUMBO BAG APPLES,30450.690000000002,29141.440000000002,14908,1007,999,-1309.25,723,Commercial Description,Valid,0.043,Low,0.9771,Core Commercial Product
22752,SET 7 BABUSHKA NESTING BOXES,30736.75,28958.55,3773,778,719,-1778.2000000000003,226,Commercial Description,Valid,0.0579,Moderate,0.943,Monitor Return Risk
22492,MINI PAINT SET VINTAGE,28999.39,28816.739999999998,45593,761,746,-182.65000000000003,281,Commercial Description,Valid,0.0063,Low,0.9838,Core Commercial Product
48188,DOOR MAT WELCOME PUPPIES,28775.21,28673.96,4889,714,707,-101.25,13,Commercial Description,Valid,0.0035,Low,0.9516,Core Commercial Product
82483,WOOD 2 DRAWER CABINET WHITE FINISH,30014.440000000002,28324.64,5072,1259,1208,-1689.8000000000004,284,Commercial Description,Valid,0.0563,Moderate,0.9528,Monitor Return Risk
23355,HOT WATER BOTTLE KEEP CALM,28718.8,28301.2,5816,804,790,-417.59999999999997,96,Commercial Description,Valid,0.0145,Low,0.957,Core Commercial Product
21977,PACK OF 60 PINK PAISLEY CAKE CASES,28413.629999999997,28296.329999999998,56625,2067,2004,-117.3,219,Commercial Description,Valid,0.0041,Low,0.9834,Core Commercial Product
22467,GUMBALL COAT RACK,28919.800000000003,28254.25,12212,1216,1169,-665.55,294,Commercial Description,Valid,0.023,Low,0.973,Core Commercial Product
84978,HANGING HEART JAR T-LIGHT HOLDER,28629.82,28212.1,21819,1502,1477,-417.72,361,Commercial Description,Valid,0.0146,Low,0.98,Core Commercial Product
20719,WOODLAND CHARLOTTE BAG,28249.92,28143.1,24901,1625,1593,-106.82,135,Commercial Description,Valid,0.0038,Low,0.9803,Core Commercial Product
82583,HOT BATHS METAL SIGN,28324.61,28120.52,13008,1248,1198,-204.09,107,Commercial Description,Valid,0.0072,Low,0.9737,Core Commercial Product
21930,JUMBO STORAGE BAG SKULLS,27888.86,27877.37,13640,1370,1327,-11.49,6,Commercial Description,Valid,0.0004,Low,0.9746,Core Commercial Product
22624,IVORY KITCHEN SCALES,28010.17,27795.97,3232,1275,1241,-214.2,26,Commercial Description,Valid,0.0076,Low,0.9352,Core Commercial Product
22961,JAM MAKING SET PRINTED,28218.24,27773.64,18069,1297,1216,-444.6,344,Commercial Description,Valid,0.0158,Low,0.9777,Core Commercial Product
72741,GRAND CHOCOLATECANDLE,27820.880000000005,27731.58,20113,965,937,-89.3,62,Commercial Description,Valid,0.0032,Low,0.9785,Core Commercial Product
20750,RED/WHITE DOT MINI CASES,27523.119999999995,27378.52,3772,946,918,-144.6,20,Commercial Description,Valid,0.0053,Low,0.9411,Core Commercial Product
84991,60 TEATIME FAIRY CAKE CASES,27321.37,27133.42,54537,2230,2141,-187.94999999999996,350,Commercial Description,Valid,0.0069,Low,0.982,Core Commercial Product
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,27039.82,26953.12,9820,799,773,-86.69999999999999,30,Commercial Description,Valid,0.0032,Low,0.9681,Core Commercial Product
71459,HANGING JAM JAR T-LIGHT HOLDER,27090.51,26833.23,33457,1061,1053,-257.28000000000003,327,Commercial Description,Valid,0.0095,Low,0.9808,Core Commercial Product
23201,JUMBO BAG ALPHABET,27850.83,26774.81,13366,925,920,-1076.0199999999998,594,Commercial Description,Valid,0.0386,Low,0.9731,Core Commercial Product
22835,HOT WATER BOTTLE I AM SO POORLY,28455.98,26711.18,5524,1076,1022,-1744.8,408,Commercial Description,Valid,0.0613,Moderate,0.9536,Monitor Return Risk
22507,MEMO BOARD RETROSPOT  DESIGN,26626.559999999998,26508.46,5694,930,913,-118.10000000000001,24,Commercial Description,Valid,0.0044,Low,0.954,Core Commercial Product
48111,DOOR MAT 3 SMILEY CATS,26483.99,26381.59,4301,748,725,-102.4,16,Commercial Description,Valid,0.0039,Low,0.945,Core Commercial Product
20971,PINK BLUE FELT CRAFT TRINKET BOX,28966.21,26226.89,22580,1205,1160,-2739.3199999999997,2571,Commercial Description,Valid,0.0946,Moderate,0.9782,Monitor Return Risk
20711,JUMBO BAG TOYS,26183.0,26112.69,12836,1081,1069,-70.30999999999999,38,Commercial Description,Valid,0.0027,Low,0.9715,Core Commercial Product
82600,NO SINGING METAL SIGN,26168.760000000002,26084.960000000003,12887,1242,1210,-83.8,43,Commercial Description,Valid,0.0032,Low,0.9716,Core Commercial Product
22551,PLASTERS IN TIN SPACEBOY,26420.75,25985.6,15740,1373,1317,-435.15,287,Commercial Description,Valid,0.0165,Low,0.9745,Core Commercial Product
21080,SET/20 RED SPOTTY PAPER NAPKINS,26013.269999999997,25579.6,31801,2209,2134,-433.66999999999996,653,Commercial Description,Valid,0.0167,Low,0.9793,Core Commercial Product
22149,FELTCRAFT 6 FLOWER FRIENDS,26783.86,25539.46,12888,1469,1408,-1244.4,664,Commercial Description,Valid,0.0465,Low,0.9712,Core Commercial Product
22084,PAPER CHAIN KIT EMPIRE,25453.83,25154.38,8870,848,824,-299.45,111,Commercial Description,Valid,0.0118,Low,0.965,Core Commercial Product
22087,PAPER BUNTING WHITE LACE,25507.12,25041.72,8513,898,868,-465.40000000000003,159,Commercial Description,Valid,0.0182,Low,0.9639,Core Commercial Product
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,25386.65,24971.3,40703,1313,1287,-415.35,729,Commercial Description,Valid,0.0164,Low,0.9798,Core Commercial Product
37503,TEA TIME CAKE STAND IN GIFT BOX,25428.33,24912.88,2465,537,536,-515.45,51,Commercial Description,Valid,0.0203,Low,0.9208,Core Commercial Product
21481,FAWN BLUE HOT WATER BOTTLE,26925.18,24859.280000000002,8537,1137,1065,-2065.8999999999996,802,Commercial Description,Valid,0.0767,Moderate,0.9637,Monitor Return Risk
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,25197.98,24836.3,109898,1052,1032,-361.68,1704,Commercial Description,Valid,0.0144,Low,0.9802,Core Commercial Product
22728,ALARM CLOCK BAKELIKE PINK,24858.519999999997,24659.77,6361,1033,986,-198.75,53,Commercial Description,Valid,0.008,Low,0.9562,Core Commercial Product
23173,REGENCY TEAPOT ROSES,24879.129999999997,24442.73,2766,434,429,-436.4,52,Commercial Description,Valid,0.0175,Low,0.9257,Core Commercial Product
84836,ZINC METAL HEART DECORATION,24563.17,24435.670000000002,20057,1474,1417,-127.5,102,Commercial Description,Valid,0.0052,Low,0.9753,Core Commercial Product
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24459.96,24318.260000000002,5972,863,850,-141.7,36,Commercial Description,Valid,0.0058,Low,0.9535,Core Commercial Product
21231,SWEETHEART CERAMIC TRINKET BOX,24499.379999999997,24110.45,19672,1613,1555,-388.93000000000006,323,Commercial Description,Valid,0.0159,Low,0.975,Core Commercial Product
21527,RETRO SPOT TRADITIONAL TEAPOT,25493.019999999997,24069.14,3414,981,949,-1423.8800000000003,183,Commercial Description,Valid,0.0559,Moderate,0.9334,Monitor Return Risk
21790,VINTAGE SNAP CARDS,24063.299999999996,23900.63,27904,1965,1900,-162.67,203,Commercial Description,Valid,0.0068,Low,0.9769,Core Commercial Product
22698,PINK REGENCY TEACUP AND SAUCER,24377.57,23813.120000000003,8194,1091,1083,-564.45,203,Commercial Description,Valid,0.0232,Low,0.9612,Core Commercial Product
21955,UNION JACK GUNS & ROSES  DOORMAT,23949.35,23766.07,3933,758,739,-183.28,28,Commercial Description,Valid,0.0077,Low,0.9393,Core Commercial Product
47590A,BLUE HAPPY BIRTHDAY BUNTING,24542.88,23655.08,4826,707,698,-887.8000000000002,188,Commercial Description,Valid,0.0362,Low,0.9459,Core Commercial Product
22605,WOODEN CROQUET GARDEN SET,23731.02,23560.719999999998,1845,666,656,-170.29999999999995,14,Commercial Description,Valid,0.0072,Low,0.9026,Core Commercial Product
