ExecutiveRank,ProductA,ProductA_Description,ProductB,ProductB_Description,AssociationType,CommercialAction,PairOrders,Support,Confidence_A_to_B,Confidence_B_to_A,Lift,ExecutiveScore,BusinessRecommendation
11,84997b,CHILDRENS CUTLERY RETROSPOT RED ,84997d,CHILDRENS CUTLERY POLKADOT PINK,Coordinated Set,Bundle / Set Recommendation,67,0.0018450184501845,0.788235294117647,0.8170731707317073,349.0728837876614,23.380767078861407,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
12,84997b,CHILDRENS CUTLERY RETROSPOT RED ,84997c,CHILDRENS CUTLERY POLKADOT BLUE,Coordinated Set,Bundle / Set Recommendation,66,0.0018174808613757,0.7764705882352941,0.88,375.95670588235294,23.240806419808845,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
13,23249,VINTAGE RED ENAMEL TRIM PLATE,23250,VINTAGE RED TRIM ENAMEL BOWL ,Coordinated Set,Bundle / Set Recommendation,66,0.0018174808613757,0.8148148148148148,0.6,268.9925925925926,23.01642750936286,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
14,21086,SET/6 RED SPOTTY PAPER CUPS,21094,SET/6 RED SPOTTY PAPER PLATES,Complementary Cross-Sell,Accessory / Complementary Recommendation,651,0.0179269703144792,0.7740784780023782,0.6615853658536586,28.56695716481541,22.933377605467243,Use as a targeted accessory recommendation or checkout cross-sell.
15,22522,CHILDS GARDEN FORK BLUE ,22523,CHILDS GARDEN FORK PINK,Coordinated Set,Bundle / Set Recommendation,260,0.0071597730902682,0.7784431137724551,0.7407407407407407,80.5367043690397,22.8766534287838,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
16,23290,SPACEBOY CHILDRENS BOWL,23292,SPACEBOY CHILDRENS CUP,Coordinated Set,Bundle / Set Recommendation,161,0.0044335517982045,0.7523364485981309,0.7252252252252253,123.0646206954618,22.142433034018392,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
17,23171,REGENCY TEA PLATE GREEN ,23172,REGENCY TEA PLATE PINK,Coordinated Set,Bundle / Set Recommendation,278,0.0076554496888252,0.7315789473684211,0.9114754098360656,87.10346850733391,22.140021533651527,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
18,23174,REGENCY SUGAR BOWL GREEN,23175,REGENCY MILK JUG PINK ,Coordinated Set,Bundle / Set Recommendation,243,0.0066916340805199,0.7546583850931677,0.7386018237082067,83.29685287621061,22.074969317295547,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
19,23254,CHILDRENS CUTLERY DOLLY GIRL ,23256,CHILDRENS CUTLERY SPACEBOY ,Coordinated Set,Bundle / Set Recommendation,228,0.006278570248389,0.7651006711409396,0.6195652173913043,75.49963524948934,21.637909609141552,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
20,23289,DOLLY GIRL CHILDRENS BOWL,23290,SPACEBOY CHILDRENS BOWL,Coordinated Set,Bundle / Set Recommendation,141,0.00388280002203,0.7382198952879581,0.6588785046728972,125.26970690414444,21.241574846311554,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
21,23170,REGENCY TEA PLATE ROSES ,23171,REGENCY TEA PLATE GREEN ,Coordinated Set,Bundle / Set Recommendation,319,0.0087844908299829,0.7184684684684685,0.8394736842105263,68.65911569464201,21.10445826072814,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
22,23564,EGG CUP MILKMAID INGRID,23566,EGG CUP MILKMAID HEIDI,Coordinated Set,Bundle / Set Recommendation,56,0.0015421049732885,0.7368421052631579,0.6746987951807228,322.3817374762207,20.6588008494872,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
23,22520,CHILDS GARDEN TROWEL BLUE ,22523,CHILDS GARDEN FORK PINK,Complementary Cross-Sell,Accessory / Complementary Recommendation,240,0.0066090213140937,0.6521739130434783,0.6837606837606838,67.47305834262356,20.409505834632483,Use as a targeted accessory recommendation or checkout cross-sell.
24,23291,DOLLY GIRL CHILDRENS CUP,23292,SPACEBOY CHILDRENS CUP,Coordinated Set,Bundle / Set Recommendation,140,0.0038552624332213,0.717948717948718,0.6306306306306306,117.43959343959344,20.355891804798016,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
25,22747,POPPY'S PLAYHOUSE BATHROOM,22748,POPPY'S PLAYHOUSE KITCHEN,Cross-Sell,Cross-Sell Recommendation,357,0.0098309192047144,0.8880597014925373,0.4811320754716981,43.4622641509434,19.816617612523505,Use as a personalized recommendation based on basket composition.
26,23285,PINK VINTAGE SPOT BEAKER,23286,BLUE VINTAGE SPOT BEAKER,Cross-Sell,Cross-Sell Recommendation,153,0.0042132510877347,0.8010471204188482,0.6923076923076923,131.62545308095045,19.720379860191674,Use as a personalized recommendation based on basket composition.
27,22521,CHILDS GARDEN TROWEL PINK,22522,CHILDS GARDEN FORK BLUE ,Complementary Cross-Sell,Accessory / Complementary Recommendation,232,0.0063887206036239,0.6270270270270271,0.6946107784431138,68.17323191454928,19.548712904072023,Use as a targeted accessory recommendation or checkout cross-sell.
28,21801,CHRISTMAS TREE DECORATION WITH BELL,21802,CHRISTMAS TREE HEART DECORATION,Cross-Sell,Cross-Sell Recommendation,208,0.0057278184722145,0.8062015503875969,0.6439628482972136,90.63901888784888,19.45840242284352,Use as a personalized recommendation based on basket composition.
29,22698,PINK REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER ,Coordinated Set,Bundle / Set Recommendation,812,0.0223605221126838,0.7898832684824902,0.571830985915493,20.199873951882505,19.397006287500577,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
30,22746,POPPY'S PLAYHOUSE LIVINGROOM ,22748,POPPY'S PLAYHOUSE KITCHEN,Cross-Sell,Cross-Sell Recommendation,474,0.0130528170953351,0.8404255319148937,0.6388140161725068,41.13101450937661,19.37654041591701,Use as a personalized recommendation based on basket composition.
31,85124B,BLUE JUICY FRUIT PHOTO FRAME,85124C,GREEN JUICY FRUIT PHOTO FRAME,Complementary Cross-Sell,Accessory / Complementary Recommendation,66,0.0018174808613757,0.6470588235294118,0.5454545454545454,194.19251336898395,19.370943917000453,Use as a targeted accessory recommendation or checkout cross-sell.
32,22697,GREEN REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER ,Coordinated Set,Bundle / Set Recommendation,1034,0.0284738668282205,0.764792899408284,0.7281690140845071,19.558231935994662,19.2617264636466,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
33,85131B,BEADED CRYSTAL HEART GREEN ON STICK,85131D,BEADED CRYSTAL HEART PINK ON STICK,Cross-Sell,Cross-Sell Recommendation,171,0.0047089276862917,0.7916666666666666,0.6404494382022472,107.67259675405742,19.105451993799747,Use as a personalized recommendation based on basket composition.
34,82613A,"METAL SIGN,CUPCAKE SINGLE HOOK",82613D,METAL SIGN CUPCAKE SINGLE HOOK,Coordinated Set,Bundle / Set Recommendation,88,0.0024233078151677,0.7586206896551724,0.3247232472324723,101.65517241379312,18.924758661113536,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
35,21801,CHRISTMAS TREE DECORATION WITH BELL,21803,CHRISTMAS TREE STAR DECORATION,Cross-Sell,Cross-Sell Recommendation,202,0.0055625929393622,0.7829457364341085,0.6273291925465838,88.2977996051808,18.686407925692187,Use as a personalized recommendation based on basket composition.
36,22598,CHRISTMAS MUSICAL ZINC TREE,22599,CHRISTMAS MUSICAL ZINC STAR,Cross-Sell,Cross-Sell Recommendation,113,0.0031117475353858,0.7847222222222222,0.5978835978835979,150.7746178718401,18.666240224819035,Use as a personalized recommendation based on basket composition.
37,22745,POPPY'S PLAYHOUSE BEDROOM ,22748,POPPY'S PLAYHOUSE KITCHEN,Cross-Sell,Cross-Sell Recommendation,557,0.0153384369664592,0.7923186344238976,0.7506738544474394,38.776629232438566,18.45657288497973,Use as a personalized recommendation based on basket composition.
38,21239,PINK  POLKADOT CUP,21240,BLUE POLKADOT CUP,Coordinated Set,Bundle / Set Recommendation,521,0.0143470837693451,0.6946666666666667,0.6775032509752926,32.8038040745557,18.364689568745447,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
39,82613C,"METAL SIGN,CUPCAKE SINGLE HOOK",82613D,METAL SIGN CUPCAKE SINGLE HOOK,Coordinated Set,Bundle / Set Recommendation,129,0.0035523489563253,0.6898395721925134,0.4760147601476014,92.4385026737968,18.28252657689785,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
40,82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",82613D,METAL SIGN CUPCAKE SINGLE HOOK,Coordinated Set,Bundle / Set Recommendation,150,0.0041306383213085,0.672645739910314,0.5535055350553506,90.13452914798206,18.274161978135716,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
41,22344,PARTY PIZZA DISH PINK POLKADOT,22345,PARTY PIZZA DISH BLUE POLKADOT,Cross-Sell,Cross-Sell Recommendation,98,0.0026986837032549,0.7368421052631579,0.765625,209.04440789473685,18.1053685214689,Use as a personalized recommendation based on basket composition.
42,35809A,ENAMEL PINK TEA CONTAINER,35810A,ENAMEL PINK COFFEE CONTAINER,Cross-Sell,Cross-Sell Recommendation,130,0.0035798865451341,0.7344632768361582,0.7602339181286549,155.97251131595468,18.104036759007716,Use as a personalized recommendation based on basket composition.
43,21802,CHRISTMAS TREE HEART DECORATION,21803,CHRISTMAS TREE STAR DECORATION,Cross-Sell,Cross-Sell Recommendation,240,0.0066090213140937,0.7430340557275542,0.7453416149068323,83.7967040363056,18.095781690993334,Use as a personalized recommendation based on basket composition.
44,22562,MONSTERS STENCIL CRAFT,22563,HAPPY STENCIL CRAFT,Cross-Sell,Cross-Sell Recommendation,309,0.0085091149418956,0.7862595419847328,0.5797373358348968,53.56890995803675,18.039322615383448,Use as a personalized recommendation based on basket composition.
45,23265,SET OF 3 WOODEN TREE DECORATIONS,23266,SET OF 3 WOODEN STOCKING DECORATION,Cross-Sell,Cross-Sell Recommendation,219,0.0060307319491105,0.7474402730375427,0.6865203761755486,85.08635133255588,17.961365890189843,Use as a personalized recommendation based on basket composition.
46,23170,REGENCY TEA PLATE ROSES ,23172,REGENCY TEA PLATE PINK,Coordinated Set,Bundle / Set Recommendation,269,0.0074076113895467,0.6058558558558559,0.8819672131147541,72.13458868704771,17.47054273927134,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
47,20674,GREEN POLKADOT BOWL,20676,RED RETROSPOT BOWL,Coordinated Set,Bundle / Set Recommendation,342,0.0094178553725835,0.7386609071274298,0.3540372670807453,27.767838697127832,17.382561143682594,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
48,21377,SMALL CAMPHOR WOOD FIELD  MUSHROOM,21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,Cross-Sell,Cross-Sell Recommendation,73,0.0020102439830368,0.7448979591836735,0.584,216.40179591836736,17.254362249372683,Use as a personalized recommendation based on basket composition.
49,23289,DOLLY GIRL CHILDRENS BOWL,23292,SPACEBOY CHILDRENS CUP,Coordinated Set,Bundle / Set Recommendation,122,0.0033595858346643,0.6387434554973822,0.5495495495495496,104.48346776095468,17.183084367075335,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
50,22913,RED COAT RACK PARIS FASHION,22914,BLUE COAT RACK PARIS FASHION,Cross-Sell,Cross-Sell Recommendation,91,0.0025059205815938,0.7459016393442623,0.5352941176470588,159.33336547733848,17.124614574406287,Use as a personalized recommendation based on basket composition.
