CohortMonth,CohortIndex,ActiveCustomers,CohortSize,RetentionRate,Revenue
2010-01-01,24,22,383,5.7441253263707575,8807.58
2010-02-01,1,374,374,100.0,169642.034
2010-02-01,2,89,374,23.796791443850267,33174.62
2010-02-01,3,84,374,22.459893048128343,54677.76
2010-02-01,4,109,374,29.144385026737968,53236.91
2010-02-01,5,92,374,24.598930481283425,43906.71
2010-02-01,6,75,374,20.053475935828878,39565.7
2010-02-01,7,72,374,19.25133689839572,40078.67
2010-02-01,8,107,374,28.609625668449194,51089.571
2010-02-01,9,95,374,25.40106951871658,52810.88
2010-02-01,10,103,374,27.540106951871657,54630.03
2010-02-01,11,43,374,11.497326203208557,36630.590000000004
2010-02-01,12,47,374,12.566844919786096,18969.02
2010-02-01,13,57,374,15.240641711229946,27773.95
2010-02-01,14,65,374,17.379679144385026,34440.25
2010-02-01,15,46,374,12.299465240641712,20696.93
2010-02-01,16,75,374,20.053475935828878,37949.95
2010-02-01,17,60,374,16.0427807486631,29949.07
2010-02-01,18,61,374,16.31016042780749,33379.19
2010-02-01,19,54,374,14.43850267379679,25452.85
2010-02-01,20,86,374,22.994652406417114,45351.94
2010-02-01,21,86,374,22.994652406417114,45876.41
2010-02-01,22,61,374,16.31016042780749,38482.65
2010-02-01,23,22,374,5.88235294117647,11143.89
2010-03-01,1,443,443,100.0,234185.261
2010-03-01,2,84,443,18.961625282167045,49737.45
2010-03-01,3,102,443,23.024830699774267,51722.75
2010-03-01,4,107,443,24.153498871331827,64507.63
2010-03-01,5,103,443,23.25056433408578,50115.97
2010-03-01,6,90,443,20.31602708803612,55850.23
2010-03-01,7,109,443,24.604966139954854,65378.39
2010-03-01,8,134,443,30.248306997742663,81126.03
2010-03-01,9,122,443,27.539503386004515,76267.27
2010-03-01,10,48,443,10.835214446952596,35157.83
2010-03-01,11,51,443,11.512415349887133,24671.99
2010-03-01,12,63,443,14.221218961625281,30097.21
2010-03-01,13,89,443,20.090293453724605,43607.19
2010-03-01,14,72,443,16.252821670428894,41927.37
2010-03-01,15,89,443,20.090293453724605,47310.94
2010-03-01,16,75,443,16.93002257336343,31752.97
2010-03-01,17,77,443,17.381489841986454,42538.51
2010-03-01,18,69,443,15.575620767494355,49959.38
2010-03-01,19,78,443,17.607223476297968,47404.62
2010-03-01,20,89,443,20.090293453724605,57324.0
2010-03-01,21,94,443,21.21896162528217,62223.16
2010-03-01,22,35,443,7.900677200902935,17257.79
2010-04-01,1,294,294,100.0,124265.291
2010-04-01,2,57,294,19.387755102040817,18871.04
2010-04-01,3,57,294,19.387755102040817,20579.41
2010-04-01,4,48,294,16.3265306122449,30099.75
2010-04-01,5,54,294,18.367346938775512,22224.760000000002
2010-04-01,6,66,294,22.448979591836736,30769.05
2010-04-01,7,81,294,27.55102040816326,35105.3
2010-04-01,8,77,294,26.190476190476193,32670.45
2010-04-01,9,31,294,10.54421768707483,15281.7
2010-04-01,10,32,294,10.884353741496598,17661.73
2010-04-01,11,22,294,7.482993197278912,6498.14
2010-04-01,12,41,294,13.945578231292515,16954.37
2010-04-01,13,41,294,13.945578231292515,21429.66
2010-04-01,14,46,294,15.646258503401361,22614.4
2010-04-01,15,46,294,15.646258503401361,16747.04
2010-04-01,16,46,294,15.646258503401361,22450.36
2010-04-01,17,41,294,13.945578231292515,17851.94
2010-04-01,18,44,294,14.965986394557824,19359.41
2010-04-01,19,53,294,18.027210884353742,32099.9
2010-04-01,20,66,294,22.448979591836736,29883.44
2010-04-01,21,17,294,5.782312925170068,4942.32
2010-05-01,1,254,254,100.0,110407.13
2010-05-01,2,40,254,15.748031496062993,13574.65
2010-05-01,3,43,254,16.92913385826772,14065.4
2010-05-01,4,44,254,17.322834645669293,12685.68
2010-05-01,5,45,254,17.716535433070867,16861.31
2010-05-01,6,65,254,25.590551181102363,31174.36
2010-05-01,7,54,254,21.25984251968504,23140.53
2010-05-01,8,32,254,12.598425196850393,13606.09
2010-05-01,9,15,254,5.905511811023622,5879.52
2010-05-01,10,21,254,8.267716535433072,7238.21
2010-05-01,11,29,254,11.41732283464567,9263.98
2010-05-01,12,34,254,13.385826771653544,13201.06
2010-05-01,13,39,254,15.354330708661418,17411.74
2010-05-01,14,39,254,15.354330708661418,18100.47
2010-05-01,15,25,254,9.84251968503937,10314.72
2010-05-01,16,32,254,12.598425196850393,14712.35
2010-05-01,17,35,254,13.779527559055119,22168.65
2010-05-01,18,42,254,16.535433070866144,17589.7
2010-05-01,19,39,254,15.354330708661418,15874.58
2010-05-01,20,12,254,4.724409448818897,3417.78
2010-06-01,1,270,270,100.0,131044.36
2010-06-01,2,47,270,17.40740740740741,16038.77
2010-06-01,3,51,270,18.88888888888889,22546.5
2010-06-01,4,55,270,20.37037037037037,25780.81
2010-06-01,5,62,270,22.962962962962962,34934.4
2010-06-01,6,77,270,28.51851851851852,48306.23
2010-06-01,7,34,270,12.592592592592592,25220.56
2010-06-01,8,24,270,8.88888888888889,17269.38
2010-06-01,9,22,270,8.148148148148149,23850.97
2010-06-01,10,32,270,11.851851851851853,28526.94
2010-06-01,11,29,270,10.74074074074074,12458.01
2010-06-01,12,37,270,13.703703703703704,29939.65
2010-06-01,13,40,270,14.814814814814813,40341.98
2010-06-01,14,33,270,12.222222222222221,16108.24
2010-06-01,15,30,270,11.11111111111111,45798.64
2010-06-01,16,33,270,12.222222222222221,18715.65
2010-06-01,17,36,270,13.333333333333334,38368.76
2010-06-01,18,55,270,20.37037037037037,27844.58
2010-06-01,19,14,270,5.185185185185185,4447.42
2010-07-01,1,186,186,100.0,75047.65
2010-07-01,2,29,186,15.591397849462366,8384.3
2010-07-01,3,34,186,18.27956989247312,13690.61
2010-07-01,4,55,186,29.56989247311828,24927.85
2010-07-01,5,54,186,29.03225806451613,28658.5
2010-07-01,6,26,186,13.978494623655912,15793.47
2010-07-01,7,21,186,11.29032258064516,9095.05
2010-07-01,8,27,186,14.516129032258066,10467.05
2010-07-01,9,27,186,14.516129032258066,10378.25
2010-07-01,10,21,186,11.29032258064516,9946.03
2010-07-01,11,25,186,13.440860215053762,9192.18
2010-07-01,12,27,186,14.516129032258066,12650.06
2010-07-01,13,25,186,13.440860215053762,12283.53
2010-07-01,14,25,186,13.440860215053762,14311.51
2010-07-01,15,36,186,19.35483870967742,15681.11
2010-07-01,16,32,186,17.20430107526882,15625.79
2010-07-01,17,44,186,23.655913978494624,22590.65
2010-07-01,18,15,186,8.064516129032258,7183.3
2010-08-01,1,162,162,100.0,60663.3
2010-08-01,2,33,162,20.37037037037037,13797.99
2010-08-01,3,48,162,29.629629629629626,23029.07
2010-08-01,4,52,162,32.098765432098766,23403.83
2010-08-01,5,28,162,17.28395061728395,22369.45
2010-08-01,6,19,162,11.728395061728394,5428.84
2010-08-01,7,16,162,9.876543209876543,5303.23
2010-08-01,8,20,162,12.345679012345679,7279.92
2010-08-01,9,22,162,13.580246913580247,9854.03
2010-08-01,10,21,162,12.962962962962962,9831.210000000001
2010-08-01,11,21,162,12.962962962962962,7242.49
2010-08-01,12,20,162,12.345679012345679,6992.87
2010-08-01,13,25,162,15.432098765432098,11195.27
2010-08-01,14,30,162,18.51851851851852,18300.55
2010-08-01,15,29,162,17.901234567901234,19485.88
2010-08-01,16,32,162,19.753086419753085,19734.22
2010-08-01,17,11,162,6.790123456790123,5620.11
2010-09-01,1,243,243,100.0,159647.2
2010-09-01,2,55,243,22.633744855967077,29633.55
2010-09-01,3,57,243,23.456790123456788,32174.95
2010-09-01,4,30,243,12.345679012345679,21434.33
2010-09-01,5,22,243,9.053497942386832,26219.850000000002
2010-09-01,6,25,243,10.2880658436214,8267.87
2010-09-01,7,33,243,13.580246913580247,26073.170000000002
2010-09-01,8,24,243,9.876543209876543,10859.1
2010-09-01,9,31,243,12.757201646090536,29454.3
2010-09-01,10,32,243,13.168724279835391,14726.95
2010-09-01,11,28,243,11.522633744855968,19943.940000000002
2010-09-01,12,24,243,9.876543209876543,25898.68
2010-09-01,13,53,243,21.810699588477366,102850.991
2010-09-01,14,40,243,16.46090534979424,25446.67
2010-09-01,15,39,243,16.049382716049383,44492.21
2010-09-01,16,13,243,5.349794238683128,5484.610000000001
2010-10-01,1,377,377,100.0,185266.87
2010-10-01,2,97,377,25.72944297082228,46538.18
2010-10-01,3,55,377,14.588859416445624,28998.74
2010-10-01,4,47,377,12.46684350132626,24273.94
2010-10-01,5,33,377,8.753315649867375,12785.04
2010-10-01,6,31,377,8.222811671087534,11182.61
2010-10-01,7,49,377,12.9973474801061,17584.0
2010-10-01,8,52,377,13.793103448275861,16023.93
2010-10-01,9,40,377,10.610079575596817,22237.9
2010-10-01,10,35,377,9.283819628647215,19500.24
2010-10-01,11,40,377,10.610079575596817,13663.9
2010-10-01,12,49,377,12.9973474801061,21028.88
2010-10-01,13,72,377,19.098143236074268,49844.25
2010-10-01,14,87,377,23.076923076923077,56331.61
2010-10-01,15,26,377,6.896551724137931,10554.02
2010-11-01,1,325,325,100.0,152555.11000000002
2010-11-01,2,57,325,17.53846153846154,36796.46
2010-11-01,3,30,325,9.230769230769232,14253.59
2010-11-01,4,31,325,9.538461538461538,9632.81
2010-11-01,5,25,325,7.6923076923076925,9740.7
2010-11-01,6,28,325,8.615384615384615,10637.16
2010-11-01,7,42,325,12.923076923076923,15671.87
2010-11-01,8,32,325,9.846153846153847,11182.19
2010-11-01,9,28,325,8.615384615384615,9612.62
2010-11-01,10,29,325,8.923076923076923,11056.41
2010-11-01,11,36,325,11.076923076923077,14714.4
2010-11-01,12,47,325,14.461538461538462,19854.77
2010-11-01,13,83,325,25.538461538461537,40060.11
2010-11-01,14,20,325,6.153846153846154,6310.9
2010-12-01,1,76,76,100.0,40028.06
2010-12-01,2,7,76,9.210526315789473,2297.77
2010-12-01,3,4,76,5.263157894736842,7007.2699999999995
2010-12-01,4,7,76,9.210526315789473,1443.48
2010-12-01,5,9,76,11.842105263157894,6146.62
2010-12-01,6,5,76,6.578947368421052,1065.3600000000001
2010-12-01,7,4,76,5.263157894736842,730.12
2010-12-01,8,7,76,9.210526315789473,4848.94
2010-12-01,9,4,76,5.263157894736842,600.24
2010-12-01,10,2,76,2.631578947368421,500.83
2010-12-01,11,7,76,9.210526315789473,1622.54
2010-12-01,12,15,76,19.736842105263158,8559.25
2010-12-01,13,2,76,2.631578947368421,468.63
2011-01-01,1,71,71,100.0,50887.94
2011-01-01,2,12,71,16.901408450704224,3775.08
2011-01-01,3,15,71,21.12676056338028,3980.2000000000003
2011-01-01,4,14,71,19.718309859154928,26463.780000000002
2011-01-01,5,15,71,21.12676056338028,8078.03
2011-01-01,6,11,71,15.492957746478872,6446.85
2011-01-01,7,11,71,15.492957746478872,5107.55
2011-01-01,8,9,71,12.676056338028168,5544.77
2011-01-01,9,8,71,11.267605633802818,4493.94
2011-01-01,10,15,71,21.12676056338028,11431.02
2011-01-01,11,18,71,25.352112676056336,10449.380000000001
2011-01-01,12,8,71,11.267605633802818,3621.94
2011-02-01,1,124,124,100.0,43699.22
2011-02-01,2,20,124,16.129032258064516,8496.49
2011-02-01,3,19,124,15.32258064516129,16401.49
2011-02-01,4,23,124,18.548387096774192,10623.36
2011-02-01,5,27,124,21.774193548387096,9229.11
2011-02-01,6,19,124,15.32258064516129,5524.9400000000005
2011-02-01,7,19,124,15.32258064516129,7969.63
2011-02-01,8,18,124,14.516129032258066,10085.07
2011-02-01,9,18,124,14.516129032258066,9526.97
2011-02-01,10,22,124,17.741935483870968,12314.17
2011-02-01,11,7,124,5.64516129032258,2799.57
2011-03-01,1,179,179,100.0,78002.95
2011-03-01,2,33,179,18.435754189944134,15647.85
2011-03-01,3,39,179,21.787709497206702,20373.59
2011-03-01,4,36,179,20.11173184357542,16778.1
2011-03-01,5,40,179,22.3463687150838,16643.85
2011-03-01,6,27,179,15.083798882681565,10823.81
2011-03-01,7,37,179,20.670391061452513,15598.1
2011-03-01,8,36,179,20.11173184357542,18676.05
2011-03-01,9,43,179,24.022346368715084,21859.61
2011-03-01,10,17,179,9.497206703910614,6328.52
2011-04-01,1,106,106,100.0,41083.99
2011-04-01,2,27,106,25.471698113207548,13350.44
2011-04-01,3,21,106,19.81132075471698,7711.63
2011-04-01,4,21,106,19.81132075471698,7225.39
2011-04-01,5,19,106,17.92452830188679,5767.83
2011-04-01,6,25,106,23.58490566037736,11192.34
2011-04-01,7,19,106,17.92452830188679,6117.46
2011-04-01,8,27,106,25.471698113207548,11394.93
2011-04-01,9,12,106,11.320754716981133,3924.77
2011-05-01,1,111,111,100.0,52367.63
2011-05-01,2,26,111,23.423423423423422,9308.33
2011-05-01,3,27,111,24.324324324324326,10346.39
2011-05-01,4,18,111,16.216216216216218,6448.99
2011-05-01,5,24,111,21.62162162162162,10549.32
2011-05-01,6,23,111,20.72072072072072,10462.91
2011-05-01,7,29,111,26.126126126126124,14171.39
2011-05-01,8,13,111,11.711711711711711,172634.07
2011-06-01,1,108,108,100.0,84133.18000000001
2011-06-01,2,25,108,23.14814814814815,10236.66
2011-06-01,3,23,108,21.296296296296298,7880.16
2011-06-01,4,29,108,26.851851851851855,10922.42
2011-06-01,5,22,108,20.37037037037037,9797.58
2011-06-01,6,31,108,28.703703703703702,14705.56
2011-06-01,7,9,108,8.333333333333332,2473.48
2011-07-01,1,102,102,100.0,43871.651
2011-07-01,2,22,102,21.568627450980394,7644.76
2011-07-01,3,31,102,30.392156862745097,11479.19
2011-07-01,4,28,102,27.450980392156865,12176.93
2011-07-01,5,35,102,34.31372549019608,14689.83
2011-07-01,6,16,102,15.686274509803921,4511.44
2011-08-01,1,106,106,100.0,44992.17
2011-08-01,2,29,106,27.358490566037734,18662.47
2011-08-01,3,33,106,31.132075471698112,31382.51
2011-08-01,4,28,106,26.41509433962264,40007.67
2011-08-01,5,18,106,16.9811320754717,13965.72
2011-09-01,1,189,189,100.0,96393.17
2011-09-01,2,51,189,26.984126984126984,20242.94
2011-09-01,3,71,189,37.56613756613756,31315.2
2011-09-01,4,28,189,14.814814814814813,10239.39
2011-10-01,1,221,221,100.0,107955.23
2011-10-01,2,71,221,32.126696832579185,33488.590000000004
2011-10-01,3,35,221,15.837104072398189,10998.75
2011-11-01,1,191,191,100.0,80687.44
2011-11-01,2,27,191,14.136125654450263,12833.9
2011-12-01,1,28,28,100.0,23824.36
